,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2004  1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTOBER 2005,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIGHWAY USE,,,,,NONHIGHWAY USE,,,,,,,HIGHWAY,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,,PUBLIC USE,,,,,,,,LOSSES,,PRIVATE,,,,NON-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRIVATE,,"STATE,",,,PRIVATE,"STATE,",,TOTAL,ALLOWED  FOR,TOTAL,AND,,PERCENT,,HIGHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AND,FEDERAL,"COUNTY,",,TOTAL,AND,"COUNTY,",TOTAL,USE,"EVAPORATION,",CONSUMPTION,COMMERCIAL,AMOUNT,CHANGE,,(GASOLINE,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMMERCIAL,CIVILIAN,AND,TOTAL,,COMMERCIAL,AND,,,"HANDLING, ETC.",,HIGHWAY USE,,FROM,,ONLY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MUNICIPAL,,,,MUNICIPAL,,,2/,,,,PRIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama," 2,507,467 "," 2,871 "," 35,431 "," 38,302 "," 2,545,769 "," 82,115 "," 1,847 "," 83,962 "," 2,629,731 ", 595 ," 2,630,326 "," 790,734 "," 3,336,503 ",6.1 ,," 83,962 "," 3,420,465 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska," 274,027 "," 1,656 "," 4,029 "," 5,685 "," 279,712 "," 22,834 ", 366 ," 23,200 "," 302,912 ",  -," 302,912 "," 209,733 "," 489,445 ",20.8 ,," 23,200 "," 512,645 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona," 2,653,334 "," 5,530 "," 32,604 "," 38,134 "," 2,691,468 "," 73,199 "," 1,700 "," 74,899 "," 2,766,367 ",  -," 2,766,367 "," 780,791 "," 3,472,259 ",4.9 ,," 74,899 "," 3,547,158 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas," 1,366,081 "," 1,685 "," 24,689 "," 26,374 "," 1,392,455 "," 76,446 "," 1,287 "," 77,733 "," 1,470,188 "," 14,887 "," 1,485,075 "," 601,994 "," 1,994,449 ",0.1 ,," 77,733 "," 2,072,182 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California," 15,356,195 "," 26,156 "," 197,125 "," 223,281 "," 15,579,476 "," 331,891 "," 10,277 "," 342,168 "," 15,921,644 ",  -," 15,921,644 "," 2,908,737 "," 18,488,213 ",4.8 ,," 342,168 "," 18,830,381 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ," 2,043,219 "," 4,716 "," 33,027 "," 37,743 "," 2,080,962 "," 71,784 "," 1,722 "," 73,506 "," 2,154,468 "," 20,813 "," 2,175,281 "," 508,032 "," 2,588,994 ",1.3 ,," 73,506 "," 2,662,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut," 1,774,969 "," 2,348 "," 19,265 "," 21,613 "," 1,796,582 "," 54,373 "," 1,004 "," 55,377 "," 1,851,959 "," 8,949 "," 1,860,908 "," 285,813 "," 2,082,395 ",18.9 ,," 55,377 "," 2,137,772 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware," 406,434 ", 477 ," 5,164 "," 5,641 "," 412,075 "," 16,884 ", 269 ," 17,153 "," 429,228 "," 1,885 "," 431,113 "," 65,569 "," 477,644 ",2.6 ,," 17,153 "," 494,797 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. of Col.," 129,908 "," 3,188 "," 5,331 "," 8,519 "," 138,427 "," 13,081 ", 278 ," 13,359 "," 151,786 ", 2 ," 151,788 "," 24,413 "," 162,840 ",3.6 ,," 13,359 "," 176,199 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida," 8,155,559 "," 9,053 "," 90,552 "," 99,605 "," 8,255,164 "," 286,283 "," 4,592 "," 290,875 "," 8,546,039 ",  -," 8,546,039 "," 1,576,307 "," 9,831,471 ",5.4 ,," 290,875 "," 10,122,346 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia," 4,899,323 "," 4,502 "," 55,275 "," 59,777 "," 4,959,100 "," 152,450 "," 2,882 "," 155,332 "," 5,114,432 ",  -," 5,114,432 "," 1,461,981 "," 6,421,081 ",1.3 ,," 155,332 "," 6,576,413 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii," 433,813 "," 1,032 "," 9,624 "," 10,656 "," 444,469 "," 11,029 ", 502 ," 11,531 "," 456,000 "," 4,606 "," 460,606 "," 44,000 "," 488,469 ",1.9 ,," 11,531 "," 500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho," 580,353 "," 2,627 "," 12,772 "," 15,399 "," 595,752 "," 40,787 ", 666 ," 41,453 "," 637,205 "," 8,854 "," 646,059 "," 239,434 "," 835,186 ",1.4 ,," 41,453 "," 876,639 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois," 5,074,578 "," 6,429 "," 86,828 "," 93,257 "," 5,167,835 "," 135,960 "," 4,527 "," 140,487 "," 5,308,322 "," 2,092 "," 5,310,414 "," 1,401,432 "," 6,569,267 ",1.9 ,," 140,487 "," 6,709,754 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana," 3,122,988 "," 2,664 "," 47,387 "," 50,051 "," 3,173,039 "," 91,475 "," 2,470 "," 93,945 "," 3,266,984 "," 33,000 "," 3,299,984 "," 1,249,988 "," 4,423,027 ",(6.7),," 93,945 "," 4,516,972 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa," 1,512,361 "," 1,781 "," 29,190 "," 30,971 "," 1,543,332 "," 126,891 "," 1,522 "," 128,413 "," 1,671,745 ", 6 ," 1,671,751 "," 573,739 "," 2,117,071 ",3.6 ,," 128,413 "," 2,245,484 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas," 1,253,379 "," 1,778 "," 27,039 "," 28,817 "," 1,282,196 "," 67,081 "," 1,410 "," 68,491 "," 1,350,687 "," 13,672 "," 1,364,359 "," 414,791 "," 1,696,987 ",(2.5),," 68,491 "," 1,765,478 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky," 2,188,978 "," 2,849 "," 34,029 "," 36,878 "," 2,225,856 "," 112,128 "," 1,774 "," 113,902 "," 2,339,758 ",  -," 2,339,758 "," 857,083 "," 3,082,939 ",5.4 ,," 113,902 "," 3,196,841 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana," 2,163,546 "," 2,920 "," 34,361 "," 37,281 "," 2,200,827 "," 156,523 "," 1,791 "," 158,314 "," 2,359,141 "," 61,429 "," 2,420,570 "," 662,270 "," 2,863,097 ",(2.1),," 158,314 "," 3,021,411 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine," 690,799 ", 748 ," 9,618 "," 10,366 "," 701,165 "," 18,831 ", 501 ," 19,332 "," 720,497 "," 1,800 "," 722,297 "," 175,355 "," 876,520 ",(9.0),," 19,332 "," 895,852 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland," 2,592,997 "," 4,270 "," 26,881 "," 31,151 "," 2,624,148 "," 67,565 "," 1,401 "," 68,966 "," 2,693,114 "," 4,403 "," 2,697,517 "," 541,091 "," 3,165,239 ",2.5 ,," 68,966 "," 3,234,205 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts  ," 2,786,013 "," 4,365 "," 34,316 "," 38,681 "," 2,824,694 "," 62,948 "," 1,789 "," 64,737 "," 2,889,431 ",  -," 2,889,431 "," 425,034 "," 3,249,728 ",1.5 ,," 64,737 "," 3,314,465 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan," 4,789,066 "," 5,154 "," 64,170 "," 69,324 "," 4,858,390 "," 171,076 "," 3,346 "," 174,422 "," 5,032,812 ",  -," 5,032,812 "," 978,991 "," 5,837,381 ",(0.8),," 174,422 "," 6,011,803 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota," 2,598,485 "," 3,111 "," 42,501 "," 45,612 "," 2,644,097 "," 97,607 "," 2,216 "," 99,823 "," 2,743,920 "," 27,669 "," 2,771,589 "," 664,466 "," 3,308,563 ",1.4 ,," 99,823 "," 3,408,386 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi," 1,536,419 "," 2,248 "," 40,695 "," 42,943 "," 1,579,362 "," 82,328 "," 1,330 "," 83,658 "," 1,663,020 "," 16,798 "," 1,679,818 "," 600,066 "," 2,179,428 ",0.5 ,," 83,658 "," 2,263,086 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri," 3,078,502 "," 3,571 "," 45,263 "," 48,834 "," 3,127,336 "," 133,078 "," 2,360 "," 135,438 "," 3,262,774 "," 32,327 "," 3,295,101 "," 1,040,893 "," 4,168,229 ",2.0 ,," 135,438 "," 4,303,667 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana," 461,877 "," 2,590 "," 10,113 "," 12,703 "," 474,580 "," 31,037 ", 527 ," 31,564 "," 506,144 ",  -," 506,144 "," 223,636 "," 698,216 ",1.7 ,," 31,564 "," 729,780 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska," 793,426 "," 1,720 "," 17,744 "," 19,464 "," 812,890 "," 69,949 ", 925 ," 70,874 "," 883,764 ",  -," 883,764 "," 404,167 "," 1,217,057 ",1.0 ,," 70,874 "," 1,287,931 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada," 1,055,163 "," 3,471 "," 12,761 "," 16,232 "," 1,071,395 "," 33,308 ", 665 ," 33,973 "," 1,105,368 ",  -," 1,105,368 "," 332,118 "," 1,403,513 ",5.2 ,," 33,973 "," 1,437,486 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire," 688,568 ", 762 ," 9,138 "," 9,900 "," 698,468 "," 26,064 ", 476 ," 26,540 "," 725,008 ",  -," 725,008 "," 112,131 "," 810,599 ",1.5 ,," 26,540 "," 837,139 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey," 4,242,544 "," 5,528 "," 48,690 "," 54,218 "," 4,296,762 "," 93,302 "," 2,538 "," 95,840 "," 4,392,602 ",  -," 4,392,602 "," 898,537 "," 5,195,299 ",(1.4),," 95,840 "," 5,291,139 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico," 924,625 "," 3,906 "," 16,244 "," 20,150 "," 944,775 "," 41,604 ", 847 ," 42,451 "," 987,226 ",  -," 987,226 "," 467,001 "," 1,411,776 ",4.3 ,," 42,451 "," 1,454,227 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York," 5,539,978 "," 12,091 "," 100,042 "," 112,133 "," 5,652,111 "," 161,640 "," 5,216 "," 166,856 "," 5,818,967 "," 10,729 "," 5,829,696 "," 1,415,523 "," 7,067,634 ",1.2 ,," 166,856 "," 7,234,490 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina," 4,177,747 "," 3,241 "," 97,636 "," 100,877 "," 4,278,624 "," 179,915 "," 2,786 "," 182,701 "," 4,461,325 ",  -," 4,461,325 "," 1,101,259 "," 5,379,883 ",2.3 ,," 182,701 "," 5,562,584 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota," 320,894 "," 1,184 "," 8,155 "," 9,339 "," 330,233 "," 36,480 ", 166 ," 36,646 "," 366,879 ", 927 ," 367,806 "," 157,055 "," 487,288 ",(2.9),," 36,646 "," 523,934 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio," 5,035,898 "," 5,445 "," 79,253 "," 84,698 "," 5,120,596 "," 159,386 "," 4,132 "," 163,518 "," 5,284,114 "," 53,389 "," 5,337,503 "," 1,589,020 "," 6,709,616 ",0.5 ,," 163,518 "," 6,873,134 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma," 1,784,727 "," 2,962 "," 31,611 "," 34,573 "," 1,819,300 "," 105,032 "," 1,648 "," 106,680 "," 1,925,980 "," 53,389 "," 1,979,369 "," 638,929 "," 2,458,229 ",(5.8),," 106,680 "," 2,564,909 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon," 1,469,465 "," 4,592 "," 25,242 "," 29,834 "," 1,499,299 "," 62,126 "," 1,316 "," 63,442 "," 1,562,741 ",  -," 1,562,741 "," 524,735 "," 2,024,034 ",1.3 ,," 63,442 "," 2,087,476 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania," 5,076,089 "," 8,007 "," 71,820 "," 79,827 "," 5,155,916 "," 110,385 "," 3,744 "," 114,129 "," 5,270,045 "," 26,370 "," 5,296,415 "," 1,453,121 "," 6,609,037 ",2.6 ,," 114,129 "," 6,723,166 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island    ," 367,549 ", 595 ," 7,944 "," 8,539 "," 376,088 "," 9,089 ", 414 ," 9,503 "," 385,591 "," 5,017 "," 390,608 "," 58,288 "," 434,376 ",(3.0),," 9,503 "," 443,879 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina," 2,500,012 "," 2,892 "," 27,167 "," 30,059 "," 2,530,071 "," 80,500 "," 1,416 "," 81,916 "," 2,611,987 ",  -," 2,611,987 "," 710,120 "," 3,240,191 ",10.3 ,," 81,916 "," 3,322,107 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota," 389,796 "," 1,537 "," 9,432 "," 10,969 "," 400,765 "," 39,815 ", 492 ," 40,307 "," 441,072 ", 717 ," 441,789 "," 176,387 "," 577,152 ",0.8 ,," 40,307 "," 617,459 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee," 2,953,549 "," 5,785 "," 48,448 "," 54,233 "," 3,007,782 "," 79,030 "," 2,250 "," 81,280 "," 3,089,062 "," 31,202 "," 3,120,264 "," 991,476 "," 3,999,258 ",0.2 ,," 81,280 "," 4,080,538 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas ," 11,188,474 "," 13,202 "," 144,337 "," 157,539 "," 11,346,013 "," 324,668 "," 7,525 "," 332,193 "," 11,678,206 "," 31,202 "," 11,709,408 "," 3,479,579 "," 14,825,592 ",3.0 ,," 332,193 "," 15,157,785 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah," 990,288 "," 2,383 "," 19,168 "," 21,551 "," 1,011,839 "," 37,053 ", 999 ," 38,052 "," 1,049,891 "," 10,672 "," 1,060,563 "," 367,644 "," 1,379,483 ",1.8 ,," 38,052 "," 1,417,535 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont," 337,344 ", 370 ," 5,527 "," 5,897 "," 343,241 "," 12,914 ", 288 ," 13,202 "," 356,443 "," 1,439 "," 357,882 "," 62,222 "," 405,463 ",(0.9),," 13,202 "," 418,665 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
