,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2005  1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTOBER 2006,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIGHWAY USE,,,,,NONHIGHWAY USE,,,,,,,HIGHWAY,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,,PUBLIC USE,,,,,,,,LOSSES,,PRIVATE,,,,NON-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRIVATE,,"STATE,",,,PRIVATE,"STATE,",,TOTAL,ALLOWED  FOR,TOTAL,AND,,PERCENT,,HIGHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AND,FEDERAL,"COUNTY,",,TOTAL,AND,"COUNTY,",TOTAL,USE,"EVAPORATION,",CONSUMPTION,COMMERCIAL,AMOUNT,CHANGE,,(GASOLINE,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMMERCIAL,CIVILIAN,AND,TOTAL,,COMMERCIAL,AND,,,"HANDLING, ETC.",,HIGHWAY USE,,FROM,,ONLY),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MUNICIPAL,,,,MUNICIPAL,,,2/,,,,PRIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama," 2,507,114 "," 3,328 "," 35,555 "," 38,883 "," 2,545,997 "," 81,954 "," 1,854 "," 83,808 "," 2,629,805 "," 1,351 "," 2,631,156 "," 814,696 "," 3,360,693 ",0.7 ,," 83,808 "," 3,444,501 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska," 258,750 "," 1,986 "," 7,085 "," 9,071 "," 267,821 "," 31,294 ", 369 ," 31,663 "," 299,484 ",  -," 299,484 "," 230,835 "," 498,656 ",1.9 ,," 31,663 "," 530,319 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona," 2,719,306 "," 5,530 "," 32,399 "," 37,929 "," 2,757,235 "," 69,038 "," 1,689 "," 70,727 "," 2,827,962 ",  -," 2,827,962 "," 860,537 "," 3,617,772 ",4.2 ,," 70,727 "," 3,688,499 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas," 1,340,871 "," 1,685 "," 24,722 "," 26,407 "," 1,367,278 "," 75,718 "," 1,289 "," 77,007 "," 1,444,285 "," 14,643 "," 1,458,928 "," 634,171 "," 2,001,449 ",0.4 ,," 77,007 "," 2,078,456 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
California," 15,391,914 "," 26,156 "," 196,394 "," 222,550 "," 15,614,464 "," 328,841 "," 10,239 "," 339,080 "," 15,953,544 ",  -," 15,953,544 "," 3,064,404 "," 18,678,868 ",1.0 ,," 339,080 "," 19,017,948 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ," 2,039,036 "," 4,716 "," 32,992 "," 37,708 "," 2,076,744 "," 71,136 "," 1,720 "," 72,856 "," 2,149,600 "," 21,713 "," 2,171,313 "," 554,018 "," 2,630,762 ",1.6 ,," 72,856 "," 2,703,618 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut," 1,538,648 "," 2,348 "," 25,908 "," 28,256 "," 1,566,904 "," 53,512 "," 1,000 "," 54,512 "," 1,621,416 "," (6,719)"," 1,614,697 "," 307,303 "," 1,874,207 ",(10.0),," 54,512 "," 1,928,719 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware," 421,000 ", 477 ," 5,161 "," 5,638 "," 426,638 "," 19,493 ", 269 ," 19,762 "," 446,400 "," 2,057 "," 448,457 "," 72,646 "," 499,284 ",4.5 ,," 19,762 "," 519,046 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. of Col.," 116,853 "," 3,188 "," 5,272 "," 8,460 "," 125,313 "," 15,211 ", 275 ," 15,486 "," 140,799 ", (1)," 140,798 "," 28,571 "," 153,884 ",(5.5),," 15,486 "," 169,370 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida," 8,254,202 "," 9,053 "," 102,334 "," 111,387 "," 8,365,589 "," 318,228 "," 4,575 "," 322,803 "," 8,688,392 ",  -," 8,688,392 "," 1,729,768 "," 10,095,357 ",2.7 ,," 322,803 "," 10,418,160 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia," 4,906,093 "," 4,502 "," 55,194 "," 59,696 "," 4,965,789 "," 150,621 "," 2,878 "," 153,499 "," 5,119,288 ",  -," 5,119,288 "," 1,696,811 "," 6,662,600 ",3.8 ,," 153,499 "," 6,816,099 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii," 439,391 "," 1,032 "," 9,717 "," 10,749 "," 450,140 "," 10,065 ", 507 ," 10,572 "," 460,712 "," 4,643 "," 465,355 "," 46,756 "," 496,896 ",1.7 ,," 10,572 "," 507,468 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho," 566,631 "," 2,627 "," 12,882 "," 15,509 "," 582,140 "," 39,402 ", 672 ," 40,074 "," 622,214 "," 6,284 "," 628,498 "," 251,556 "," 833,696 ",(0.2),," 40,074 "," 873,770 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois," 4,960,365 "," 6,429 "," 86,451 "," 92,880 "," 5,053,245 "," 153,798 "," 4,507 "," 158,305 "," 5,211,550 "," (14,214)"," 5,197,336 "," 1,502,351 "," 6,555,596 ",(0.2),," 158,305 "," 6,713,901 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana," 3,081,736 "," 2,664 "," 47,436 "," 50,100 "," 3,131,836 "," 90,321 "," 2,473 "," 92,794 "," 3,224,630 "," 32,572 "," 3,257,202 "," 1,329,939 "," 4,461,775 ",0.9 ,," 92,794 "," 4,554,569 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa," 1,497,537 "," 1,781 "," 29,194 "," 30,975 "," 1,528,512 "," 114,724 "," 1,522 "," 116,246 "," 1,644,758 ", 2 ," 1,644,760 "," 584,549 "," 2,113,061 ",(0.2),," 116,246 "," 2,229,307 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas," 1,088,923 "," 1,778 "," 27,090 "," 28,868 "," 1,117,791 "," 67,443 "," 1,412 "," 68,855 "," 1,186,646 "," 11,991 "," 1,198,637 "," 422,908 "," 1,540,699 ",(9.2),," 68,855 "," 1,609,554 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky," 2,104,910 "," 2,849 "," 34,032 "," 36,881 "," 2,141,791 "," 111,324 "," 1,774 "," 113,098 "," 2,254,889 ", 2 ," 2,254,891 "," 867,249 "," 3,009,040 ",(2.4),," 113,098 "," 3,122,138 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana," 2,199,577 "," 2,920 "," 34,404 "," 37,324 "," 2,236,901 "," 138,823 "," 1,794 "," 140,617 "," 2,377,518 "," (8,226)"," 2,369,292 "," 689,064 "," 2,925,965 ",2.2 ,," 140,617 "," 3,066,582 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine," 695,690 ", 748 ," 9,613 "," 10,361 "," 706,051 "," 18,868 ", 501 ," 19,369 "," 725,420 "," 1,373 "," 726,793 "," 186,359 "," 892,410 ",1.8 ,," 19,369 "," 911,779 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland," 2,599,242 "," 4,404 "," 26,884 "," 31,288 "," 2,630,530 "," 70,546 "," 1,402 "," 71,948 "," 2,702,478 "," 7,578 "," 2,710,056 "," 565,728 "," 3,196,258 ",1.0 ,," 71,948 "," 3,268,206 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts  ," 2,743,652 "," 4,365 "," 34,237 "," 38,602 "," 2,782,254 "," 64,167 "," 1,785 "," 65,952 "," 2,848,206 ",  -," 2,848,206 "," 422,653 "," 3,204,907 ",(1.4),," 65,952 "," 3,270,859 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan," 4,745,648 "," 5,154 "," 63,929 "," 69,083 "," 4,814,731 "," 181,373 "," 3,333 "," 184,706 "," 4,999,437 ",  -," 4,999,437 "," 948,961 "," 5,763,692 ",(1.3),," 184,706 "," 5,948,398 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota," 2,551,251 "," 3,111 "," 42,484 "," 45,595 "," 2,596,846 "," 108,411 "," 2,215 "," 110,626 "," 2,707,472 "," 27,349 "," 2,734,821 "," 665,699 "," 3,262,545 ",(1.4),," 110,626 "," 3,373,171 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi," 1,553,875 "," 2,248 "," 20,234 "," 22,482 "," 1,576,357 "," 85,570 "," 1,331 "," 86,901 "," 1,663,258 ",  -," 1,663,258 "," 606,874 "," 2,183,231 ",0.2 ,," 86,901 "," 2,270,132 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri," 3,035,046 "," 3,571 "," 45,304 "," 48,875 "," 3,083,921 "," 139,151 "," 2,362 "," 141,513 "," 3,225,434 "," 32,090 "," 3,257,524 "," 1,054,039 "," 4,137,960 ",(0.7),," 141,513 "," 4,279,473 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana," 446,230 "," 4,526 "," 10,191 "," 14,717 "," 460,947 "," 32,468 ", 531 ," 32,999 "," 493,946 ",  -," 493,946 "," 246,433 "," 707,380 ",1.3 ,," 32,999 "," 740,379 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska," 763,786 "," 1,720 "," 17,775 "," 19,495 "," 783,281 "," 61,399 ", 927 ," 62,326 "," 845,607 ",  -," 845,607 "," 407,252 "," 1,190,533 ",(2.2),," 62,326 "," 1,252,859 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada," 1,085,573 "," 3,471 "," 12,701 "," 16,172 "," 1,101,745 "," 37,793 ", 662 ," 38,455 "," 1,140,200 ",  -," 1,140,200 "," 388,933 "," 1,490,678 ",6.2 ,," 38,455 "," 1,529,133 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire," 671,413 ", 762 ," 9,141 "," 9,903 "," 681,316 "," 27,795 ", 477 ," 28,272 "," 709,588 ",  -," 709,588 "," 111,356 "," 792,672 ",(2.2),," 28,272 "," 820,944 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey," 4,162,667 "," 5,528 "," 48,537 "," 54,065 "," 4,216,732 "," 94,852 "," 2,530 "," 97,382 "," 4,314,114 ",  -," 4,314,114 "," 937,891 "," 5,154,623 ",(0.8),," 97,382 "," 5,252,005 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico," 906,419 "," 3,906 "," 16,391 "," 20,297 "," 926,716 "," 36,633 ", 855 ," 37,488 "," 964,204 ",  -," 964,204 "," 481,766 "," 1,408,482 ",(0.2),," 37,488 "," 1,445,970 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
New York," 5,455,532 "," 12,091 "," 99,339 "," 111,430 "," 5,566,962 "," 178,767 "," 5,179 "," 183,946 "," 5,750,908 "," 4,104 "," 5,755,012 "," 1,436,531 "," 7,003,493 ",(0.9),," 183,946 "," 7,187,439 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina," 4,135,970 "," 3,241 "," 84,641 "," 87,882 "," 4,223,852 "," 198,960 "," 2,783 "," 201,743 "," 4,425,595 "," 44,753 "," 4,470,348 "," 1,106,741 "," 5,330,593 ",(0.9),," 201,743 "," 5,532,336 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota," 324,859 "," 1,184 "," 8,198 "," 9,382 "," 334,241 "," 32,966 ", 52 ," 33,018 "," 367,259 ", 971 ," 368,230 "," 172,253 "," 506,494 ",3.9 ,," 33,018 "," 539,512 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio," 4,968,756 "," 5,445 "," 79,259 "," 84,704 "," 5,053,460 "," 156,717 "," 4,132 "," 160,849 "," 5,214,309 "," 52,682 "," 5,266,991 "," 1,616,611 "," 6,670,071 ",(0.6),," 160,849 "," 6,830,920 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma," 1,756,367 "," 2,962 "," 31,608 "," 34,570 "," 1,790,937 "," 96,551 "," 1,648 "," 98,199 "," 1,889,136 ", 52 ," 1,889,188 "," 747,224 "," 2,538,161 ",3.3 ,," 98,199 "," 2,636,360 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon," 1,480,896 "," 4,592 "," 25,315 "," 29,907 "," 1,510,803 "," 60,758 "," 1,320 "," 62,078 "," 1,572,881 ",  -," 1,572,881 "," 538,320 "," 2,049,123 ",1.2 ,," 62,078 "," 2,111,201 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania," 4,981,189 "," 8,007 "," 71,781 "," 79,788 "," 5,060,977 "," 111,945 "," 3,742 "," 115,687 "," 5,176,664 "," 25,895 "," 5,202,559 "," 1,577,819 "," 6,638,796 ",0.5 ,," 115,687 "," 6,754,483 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island    3/," 367,549 ", 595 ," 7,944 "," 8,539 "," 376,088 "," 9,089 ", 414 ," 9,503 "," 385,591 "," 5,017 "," 390,608 "," 58,288 "," 434,376 ",0.0 ,," 9,503 "," 443,879 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina," 2,364,645 "," 2,892 "," 27,125 "," 30,017 "," 2,394,662 "," 85,792 "," 1,414 "," 87,206 "," 2,481,868 ",  -," 2,481,868 "," 696,022 "," 3,090,684 ",(4.6),," 87,206 "," 3,177,890 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota," 381,048 "," 1,537 "," 9,474 "," 11,011 "," 392,059 "," 38,044 ", 494 ," 38,538 "," 430,597 "," 1,434 "," 432,031 "," 186,913 "," 578,972 ",0.3 ,," 38,538 "," 617,510 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee," 2,977,887 "," 5,785 "," 43,295 "," 49,080 "," 3,026,967 "," 82,389 "," 2,257 "," 84,646 "," 3,111,613 "," 31,430 "," 3,143,043 "," 1,053,439 "," 4,080,406 ",2.0 ,," 84,646 "," 4,165,052 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas ," 11,168,628 "," 13,202 "," 144,039 "," 157,241 "," 11,325,869 "," 318,671 "," 7,509 "," 326,180 "," 11,652,049 ", 109 ," 11,652,158 "," 3,673,568 "," 14,999,437 ",1.2 ,," 326,180 "," 15,325,617 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah," 975,106 "," 2,383 "," 19,270 "," 21,653 "," 996,759 "," 38,189 "," 1,005 "," 39,194 "," 1,035,953 "," 10,554 "," 1,046,507 "," 393,790 "," 1,390,549 ",0.8 ,," 39,194 "," 1,429,743 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont," 333,036 ", 370 ," 5,537 "," 5,907 "," 338,943 "," 13,219 ", 289 ," 13,508 "," 352,451 ", 260 ," 352,711 "," 62,935 "," 401,878 ",(0.9),," 13,508 "," 415,386 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia," 3,825,036 "," 5,269 "," 49,610 "," 54,879 "," 3,879,915 "," 109,607 "," 2,586 "," 112,193 "," 3,992,108 ",  -," 3,992,108 "," 1,093,680 "," 4,973,595 ",(1.0),," 112,193 "," 5,085,788 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington," 2,595,438 "," 6,923 "," 36,375 "," 43,298 "," 2,638,736 "," 96,154 "," 1,896 "," 98,050 "," 2,736,786 "," 8,630 "," 2,745,416 "," 637,457 "," 3,276,193 ",0.3 ,," 98,050 "," 3,374,243 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
