,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2007  1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIGHWAY USE,,,,,NONHIGHWAY USE,,,,,,,HIGHWAY,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,,PUBLIC USE,,,,,,,,LOSSES,,PRIVATE,,,,NON-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRIVATE,,"STATE,",,,PRIVATE,"STATE,",,TOTAL,ALLOWED  FOR,TOTAL,AND,,PERCENT,,HIGHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AND,FEDERAL,"COUNTY,",,TOTAL,AND,"COUNTY,",TOTAL,USE,"EVAPORATION,",CONSUMPTION,COMMERCIAL,AMOUNT,CHANGE,,(GASOLINE,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMMERCIAL,CIVILIAN,AND,TOTAL,,COMMERCIAL,AND,,,"HANDLING, ETC.",,HIGHWAY USE,,FROM,,ONLY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MUNICIPAL,,,,MUNICIPAL,,,2/,,,,PRIOR YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,16,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama," 2,535,108 "," 2,671 "," 35,547 "," 38,218 "," 2,573,326 "," 78,040 "," 1,853 "," 79,893 "," 2,653,219 "," 1,006 "," 2,654,225 "," 882,000 "," 3,455,326 ",2.8 ,," 79,893 "," 3,535,219 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska," 260,064 ", 342 ," 7,036 "," 7,378 "," 267,442 "," 31,635 ", 367 ," 32,002 "," 299,444 ",  -," 299,444 "," 238,428 "," 505,870 ",1.1 ,," 32,002 "," 537,872 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona," 2,780,602 "," 2,995 "," 35,384 "," 38,379 "," 2,818,981 "," 69,056 "," 1,845 "," 70,901 "," 2,889,882 ",  -," 2,889,882 "," 885,407 "," 3,704,388 ",0.5 ,," 70,901 "," 3,775,289 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas," 1,351,427 "," 1,438 "," 24,938 "," 26,376 "," 1,377,803 "," 66,210 "," 1,300 "," 67,510 "," 1,445,313 "," 14,657 "," 1,459,970 "," 673,731 "," 2,051,534 ",2.3 ,," 67,510 "," 2,119,044 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California," 15,182,211 "," 16,717 "," 203,236 "," 219,953 "," 15,402,164 "," 285,034 "," 10,596 "," 295,630 "," 15,697,794 ",  -," 15,697,794 "," 3,181,111 "," 18,583,275 ",(0.1),," 295,630 "," 18,878,905 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ," 2,056,129 "," 2,278 "," 34,069 "," 36,347 "," 2,092,476 "," 46,035 "," 1,776 "," 47,811 "," 2,140,287 "," 21,619 "," 2,161,906 "," 601,573 "," 2,694,049 ",1.7 ,," 47,811 "," 2,741,860 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut," 1,497,162 "," 1,667 "," 27,501 "," 29,168 "," 1,526,330 "," 40,682 "," 1,018 "," 41,700 "," 1,568,030 ", (670)," 1,567,360 "," 306,861 "," 1,833,191 ",0.6 ,," 41,700 "," 1,874,891 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware," 428,079 ", 446 ," 5,526 "," 5,972 "," 434,051 "," 27,841 ", 273 ," 28,114 "," 462,165 "," 3,146 "," 465,311 "," 71,608 "," 505,659 ",0.4 ,," 28,114 "," 533,773 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. of Col.," 116,410 ", 256 ," 5,520 "," 5,776 "," 122,186 "," 3,728 ", 288 ," 4,016 "," 126,202 ", 5 ," 126,207 "," 21,864 "," 144,050 ",(3.0),," 4,016 "," 148,066 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida," 8,116,535 "," 8,746 "," 125,417 "," 134,163 "," 8,250,698 "," 359,085 "," 4,798 "," 363,883 "," 8,614,581 ",  -," 8,614,581 "," 1,680,451 "," 9,931,149 ",(2.3),," 363,883 "," 10,295,032 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia," 4,820,890 "," 5,154 "," 57,045 "," 62,199 "," 4,883,089 "," 106,322 "," 2,974 "," 109,296 "," 4,992,385 ",  -," 4,992,385 "," 1,515,560 "," 6,398,649 ",0.1 ,," 109,296 "," 6,507,945 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii," 443,942 ", 494 ," 9,548 "," 10,042 "," 453,984 "," 14,932 ", 498 ," 15,430 "," 469,414 "," 4,737 "," 474,151 "," 54,841 "," 508,825 ",(2.4),," 15,430 "," 524,255 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho," 616,530 ", 697 ," 12,928 "," 13,625 "," 630,155 "," 39,281 ", 674 ," 39,955 "," 670,110 "," 6,769 "," 676,879 "," 277,342 "," 907,497 ",4.0 ,," 39,955 "," 947,452 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois," 4,905,807 "," 5,322 "," 88,429 "," 93,751 "," 4,999,558 "," 115,358 "," 4,610 "," 119,968 "," 5,119,526 "," (2,542)"," 5,116,984 "," 1,558,708 "," 6,558,266 ",0.2 ,," 119,968 "," 6,678,234 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana," 3,002,132 "," 3,244 "," 47,778 "," 51,022 "," 3,053,154 "," 133,870 "," 2,491 "," 136,361 "," 3,189,515 "," 32,236 "," 3,221,751 "," 1,383,666 "," 4,436,820 ",(0.6),," 136,361 "," 4,573,181 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa," 1,487,241 "," 1,604 "," 29,341 "," 30,945 "," 1,518,186 "," 139,518 "," 1,530 "," 141,048 "," 1,659,234 ",  -," 1,659,234 "," 653,815 "," 2,172,001 ",0.8 ,," 141,048 "," 2,313,049 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas," 1,237,854 "," 1,193 "," 27,140 "," 28,333 "," 1,266,187 "," 58,126 "," 1,415 "," 59,541 "," 1,325,728 "," 13,433 "," 1,339,161 "," 480,028 "," 1,746,215 ",4.2 ,," 59,541 "," 1,805,756 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky," 2,124,703 "," 2,262 "," 34,330 "," 36,592 "," 2,161,295 "," 68,565 "," 1,790 "," 70,355 "," 2,231,650 ", 6 ," 2,231,656 "," 876,018 "," 3,037,313 ",1.3 ,," 70,355 "," 3,107,668 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana," 2,128,533 "," 2,359 "," 33,786 "," 36,145 "," 2,164,678 "," 216,664 "," 1,761 "," 218,425 "," 2,383,103 "," 17,376 "," 2,400,479 "," 707,188 "," 2,871,866 ",(13.3),," 218,425 "," 3,090,291 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine," 660,363 ", 737 ," 9,661 "," 10,398 "," 670,761 "," 22,049 ", 504 ," 22,553 "," 693,314 "," 2,561 "," 695,875 "," 190,990 "," 861,751 ",(2.8),," 22,553 "," 884,304 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland," 2,629,108 "," 2,814 "," 27,062 "," 29,876 "," 2,658,984 "," 73,039 "," 1,411 "," 74,450 "," 2,733,434 "," 97,576 "," 2,831,010 "," 576,988 "," 3,235,972 ",1.0 ,," 74,450 "," 3,310,422 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts  ," 2,816,579 "," 2,963 "," 34,516 "," 37,479 "," 2,854,058 "," 56,879 "," 1,800 "," 58,679 "," 2,912,737 ",  -," 2,912,737 "," 405,019 "," 3,259,077 ",3.1 ,," 58,679 "," 3,317,756 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan," 4,537,838 "," 5,031 "," 64,707 "," 69,738 "," 4,607,576 "," 170,212 "," 3,374 "," 173,586 "," 4,781,162 ",  -," 4,781,162 "," 908,978 "," 5,516,554 ",(1.9),," 173,586 "," 5,690,140 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota," 2,470,759 "," 2,728 "," 43,129 "," 45,857 "," 2,516,616 "," 146,084 "," 2,249 "," 148,333 "," 2,664,949 "," 26,927 "," 2,691,876 "," 677,757 "," 3,194,373 ",(0.5),," 148,333 "," 3,342,706 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi," 1,596,445 "," 1,670 "," 25,561 "," 27,231 "," 1,623,676 "," 49,539 "," 1,333 "," 50,872 "," 1,674,548 "," 16,915 "," 1,691,463 "," 626,360 "," 2,250,036 ",1.5 ,," 50,872 "," 2,300,908 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri," 3,073,450 "," 3,227 "," 45,743 "," 48,970 "," 3,122,420 "," 85,324 "," 2,385 "," 87,709 "," 3,210,129 "," 31,801 "," 3,241,930 "," 1,093,652 "," 4,216,072 ",2.0 ,," 87,709 "," 4,303,781 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana," 460,886 ", 572 ," 10,074 "," 10,646 "," 471,532 "," 29,125 ", 525 ," 29,650 "," 501,182 ",  -," 501,182 "," 265,261 "," 736,793 ",1.9 ,," 29,650 "," 766,443 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska," 778,726 ", 854 ," 17,815 "," 18,669 "," 797,395 "," 43,253 ", 929 ," 44,182 "," 841,577 ",  -," 841,577 "," 436,757 "," 1,234,152 ",5.4 ,," 44,182 "," 1,278,334 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada," 1,135,418 "," 1,252 "," 13,557 "," 14,809 "," 1,150,227 "," 26,478 ", 707 ," 27,185 "," 1,177,412 ",  -," 1,177,412 "," 387,773 "," 1,538,000 ",0.3 ,," 27,185 "," 1,565,185 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire," 698,691 ", 712 ," 9,202 "," 9,914 "," 708,605 "," 20,341 ", 480 ," 20,821 "," 729,426 ",  -," 729,426 "," 104,823 "," 813,428 ",2.9 ,," 20,821 "," 834,249 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey," 4,216,612 "," 4,452 "," 49,217 "," 53,669 "," 4,270,281 "," 101,017 "," 2,566 "," 103,583 "," 4,373,864 ",  -," 4,373,864 "," 989,724 "," 5,260,005 ",2.1 ,," 103,583 "," 5,363,588 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico," 901,641 "," 1,096 "," 16,264 "," 17,360 "," 919,001 "," 26,784 ", 848 ," 27,632 "," 946,633 ",  -," 946,633 "," 532,246 "," 1,451,247 ",0.1 ,," 27,632 "," 1,478,879 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York," 5,453,896 "," 6,064 "," 101,769 "," 107,833 "," 5,561,729 "," 170,454 "," 5,306 "," 175,760 "," 5,737,489 "," 1,962 "," 5,739,451 "," 1,431,990 "," 6,993,719 ",0.4 ,," 175,760 "," 7,169,479 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina," 4,186,874 "," 4,359 "," 105,004 "," 109,363 "," 4,296,237 "," 146,247 "," 2,863 "," 149,110 "," 4,445,347 "," 44,954 "," 4,490,301 "," 1,113,940 "," 5,410,177 ",1.1 ,," 149,110 "," 5,559,287 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota," 320,293 ", 384 ," 8,086 "," 8,470 "," 328,763 "," 28,852 ", 422 ," 29,274 "," 358,037 ", 938 ," 358,975 "," 182,784 "," 511,547 ",5.0 ,," 29,274 "," 540,821 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio," 4,881,626 "," 5,281 "," 79,373 "," 84,654 "," 4,966,280 "," 156,567 "," 4,138 "," 160,705 "," 5,126,985 "," 51,809 "," 5,178,794 "," 1,607,615 "," 6,573,895 ",0.0 ,," 160,705 "," 6,734,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma," 1,752,838 "," 1,916 "," 32,025 "," 33,941 "," 1,786,779 "," 82,487 "," 1,670 "," 84,157 "," 1,870,936 ", 9 ," 1,870,945 "," 841,118 "," 2,627,897 ",5.6 ,," 84,157 "," 2,712,054 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon," 1,478,833 "," 1,709 "," 25,636 "," 27,345 "," 1,506,178 "," 60,369 "," 1,337 "," 61,706 "," 1,567,884 ",  -," 1,567,884 "," 563,925 "," 2,070,103 ",0.7 ,," 61,706 "," 2,131,809 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania," 4,929,900 "," 5,392 "," 72,115 "," 77,507 "," 5,007,407 "," 96,794 "," 3,760 "," 100,554 "," 5,107,961 "," 25,687 "," 5,133,648 "," 1,565,445 "," 6,572,852 ",0.4 ,," 100,554 "," 6,673,406 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island," 380,661 ", 401 ," 8,008 "," 8,409 "," 389,070 "," 12,234 ", 418 ," 12,652 "," 401,722 "," 4,911 "," 406,633 "," 62,590 "," 451,660 ",(0.6),," 12,652 "," 464,312 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina," 2,420,819 "," 2,516 "," 27,758 "," 30,274 "," 2,451,093 "," 77,849 "," 1,447 "," 79,296 "," 2,530,389 ",  -," 2,530,389 "," 729,583 "," 3,180,676 ",0.2 ,," 79,296 "," 3,259,972 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota," 388,784 ", 458 ," 9,439 "," 9,897 "," 398,681 "," 28,902 ", 492 ," 29,394 "," 428,075 "," 4,331 "," 432,406 "," 211,545 "," 610,226 ",6.3 ,," 29,394 "," 639,620 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee," 2,981,292 "," 3,268 "," 43,737 "," 47,005 "," 3,028,297 "," 106,596 "," 2,280 "," 108,876 "," 3,137,173 "," 31,689 "," 3,168,862 "," 1,062,419 "," 4,090,716 ",1.0 ,," 108,876 "," 4,199,592 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas ," 11,567,774 "," 11,884 "," 151,384 "," 163,268 "," 11,731,042 "," 274,337 "," 7,892 "," 282,229 "," 12,013,271 "," 31,689 "," 12,044,960 "," 4,313,359 "," 16,044,401 ",3.1 ,," 282,229 "," 16,326,630 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
