,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2009  1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUGUST 2011,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIGHWAY USE,,,,,NONHIGHWAY USE,,,,,,,HIGHWAY,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,,PUBLIC USE,,,,,,,,LOSSES,,PRIVATE,,,,NON-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRIVATE,,"STATE,",,,PRIVATE,"STATE,",,TOTAL,ACTUAL,TOTAL,AND,,PERCENT,,HIGHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AND,FEDERAL,"COUNTY,",,TOTAL,AND,"COUNTY,",TOTAL,USE,(For attribution,CONSUMPTION,COMMERCIAL,AMOUNT,CHANGE,,(GASOLINE,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMMERCIAL,CIVILIAN,AND,TOTAL,,COMMERCIAL,AND,,,purposes),,HIGHWAY USE,,FROM,,ONLY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MUNICIPAL,,,,MUNICIPAL,,,2/,,,,PRIOR YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,16,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama," 2,497,858 "," 2,637 "," 32,813 "," 35,450 "," 2,533,308 "," 67,956 "," 1,850 "," 69,806 "," 2,603,114 "," 3,380 "," 2,606,494 "," 687,818 "," 3,221,126 ",(6.8),," 69,806 "," 3,290,932 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska," 258,396 ", 337 ," 7,057 "," 7,394 "," 265,790 "," 25,840 ", 368 ," 26,208 "," 291,998 ",  -," 291,998 "," 267,142 "," 532,932 ",5.3 ,," 26,208 "," 559,140 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona," 2,533,094 "," 2,893 "," 35,915 "," 38,808 "," 2,571,902 "," 67,746 "," 1,872 "," 69,618 "," 2,641,520 ",  -," 2,641,520 "," 726,297 "," 3,298,199 ",(11.0),," 69,618 "," 3,367,817 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas," 1,379,556 "," 1,431 "," 25,006 "," 26,437 "," 1,405,993 "," 55,520 "," 1,304 "," 56,824 "," 1,462,817 ", 1 ," 1,462,818 "," 592,943 "," 1,998,936 ",(2.6),," 56,824 "," 2,055,760 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California," 14,352,653 "," 15,901 "," 206,495 "," 222,396 "," 14,575,049 "," 245,690 "," 10,766 "," 256,456 "," 14,831,505 ",  -," 14,831,505 "," 2,728,340 "," 17,303,389 ",(6.9),," 256,456 "," 17,559,845 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ," 2,023,774 "," 2,244 "," 34,014 "," 36,258 "," 2,060,032 "," 37,933 "," 1,773 "," 39,706 "," 2,099,738 ", 10 ," 2,099,748 "," 525,007 "," 2,585,039 ",(4.0),," 39,706 "," 2,624,745 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut," 1,458,018 "," 1,564 "," 19,611 "," 21,175 "," 1,479,193 "," 37,153 "," 1,022 "," 38,175 "," 1,517,368 "," (1,549)"," 1,515,819 "," 268,457 "," 1,747,650 ",(4.7),," 38,175 "," 1,785,825 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware," 414,087 ", 439 ," 6,155 "," 6,594 "," 420,681 "," 24,385 ", 274 ," 24,659 "," 445,340 "," 2,698 "," 448,038 "," 68,518 "," 489,199 ",(3.3),," 24,659 "," 513,858 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. of Col.," 98,466 ", 234 ," 8,413 "," 8,647 "," 107,113 "," 4,239 ", 279 ," 4,518 "," 111,631 ", 6 ," 111,637 "," 21,899 "," 129,012 ",(10.4),," 4,518 "," 133,530 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida," 7,837,407 "," 8,285 "," 119,903 "," 128,188 "," 7,965,595 "," 347,954 "," 4,873 "," 352,827 "," 8,318,422 ",  -," 8,318,422 "," 1,332,915 "," 9,298,510 ",(6.4),," 352,827 "," 9,651,337 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia," 4,724,481 "," 4,857 "," 57,093 "," 61,950 "," 4,786,431 "," 96,453 "," 2,977 "," 99,430 "," 4,885,861 ",  -," 4,885,861 "," 1,201,345 "," 5,987,776 ",(6.4),," 99,430 "," 6,087,206 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii," 427,150 ", 471 ," 9,658 "," 10,129 "," 437,279 "," 13,965 ", 504 ," 14,469 "," 451,748 ",  -," 451,748 "," 49,461 "," 486,740 ",(4.3),," 14,469 "," 501,209 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho," 614,285 ", 725 ," 12,956 "," 13,681 "," 627,966 "," 35,011 ", 675 ," 35,686 "," 663,652 ",  -," 663,652 "," 239,543 "," 867,509 ",(4.4),," 35,686 "," 903,195 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois," 4,679,128 "," 5,108 "," 88,574 "," 93,682 "," 4,772,810 "," 127,964 "," 4,618 "," 132,582 "," 4,905,392 "," (7,654)"," 4,897,738 "," 1,399,990 "," 6,172,800 ",(5.8),," 132,582 "," 6,305,382 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana," 2,894,825 "," 3,048 "," 47,860 "," 50,908 "," 2,945,733 "," 142,376 "," 2,495 "," 144,871 "," 3,090,604 ",  -," 3,090,604 "," 1,123,661 "," 4,069,394 ",(8.3),," 144,871 "," 4,214,265 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa," 1,480,360 "," 1,577 "," 29,386 "," 30,963 "," 1,511,323 "," 136,886 "," 1,532 "," 138,418 "," 1,649,741 ",  -," 1,649,741 "," 609,332 "," 2,120,655 ",(2.4),," 138,418 "," 2,259,073 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas," 1,249,437 "," 1,323 "," 27,206 "," 28,529 "," 1,277,966 "," 48,208 "," 1,418 "," 49,626 "," 1,327,592 ", 11 ," 1,327,603 "," 441,841 "," 1,719,807 ",(1.5),," 49,626 "," 1,769,433 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky," 2,125,456 "," 2,213 "," 34,363 "," 36,576 "," 2,162,032 "," 52,100 "," 1,792 "," 53,892 "," 2,215,924 ",  -," 2,215,924 "," 743,717 "," 2,905,749 ",(4.3),," 53,892 "," 2,959,641 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana," 2,190,271 "," 2,185 "," 34,332 "," 36,517 "," 2,226,788 "," 63,167 "," 1,790 "," 64,957 "," 2,291,745 ",  -," 2,291,745 "," 700,164 "," 2,926,952 ",1.9 ,," 64,957 "," 2,991,909 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine," 636,166 ", 669 ," 9,701 "," 10,370 "," 646,536 "," 17,458 ", 506 ," 17,964 "," 664,500 "," 2,837 "," 667,337 "," 198,394 "," 844,930 ",(2.0),," 17,964 "," 862,894 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland," 2,783,260 "," 2,813 "," 27,286 "," 30,099 "," 2,813,359 "," 62,376 "," 1,423 "," 63,799 "," 2,877,158 "," 157,424 "," 3,034,582 "," 519,838 "," 3,333,197 ",3.0 ,," 63,799 "," 3,396,996 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts  ," 2,674,173 "," 2,938 "," 34,782 "," 37,720 "," 2,711,893 "," 52,037 "," 1,813 "," 53,850 "," 2,765,743 ",  -," 2,765,743 "," 403,082 "," 3,114,975 ",(4.4),," 53,850 "," 3,168,825 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan," 4,367,347 "," 4,672 "," 65,306 "," 69,978 "," 4,437,325 "," 118,978 "," 3,405 "," 122,383 "," 4,559,708 ",  -," 4,559,708 "," 783,592 "," 5,220,917 ",(5.4),," 122,383 "," 5,343,300 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota," 2,388,271 "," 2,611 "," 43,625 "," 46,236 "," 2,434,507 "," 115,194 "," 2,274 "," 117,468 "," 2,551,975 ",  -," 2,551,975 "," 598,711 "," 3,033,218 ",(5.0),," 117,468 "," 3,150,686 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi," 1,511,419 "," 1,685 "," 25,639 "," 27,324 "," 1,538,743 "," 36,577 "," 1,337 "," 37,914 "," 1,576,657 ",  -," 1,576,657 "," 554,309 "," 2,093,052 ",(7.0),," 37,914 "," 2,130,966 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri," 3,074,541 "," 3,247 "," 45,823 "," 49,070 "," 3,123,611 "," 73,622 "," 2,389 "," 76,011 "," 3,199,622 ",  -," 3,199,622 "," 953,285 "," 4,076,896 ",(3.3),," 76,011 "," 4,152,907 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana," 461,245 ", 571 ," 10,091 "," 10,662 "," 471,907 "," 24,063 ", 526 ," 24,589 "," 496,496 ",  -," 496,496 "," 237,130 "," 709,037 ",(3.8),," 24,589 "," 733,626 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska," 777,781 ", 877 ," 17,804 "," 18,681 "," 796,462 "," 31,732 ", 928 ," 32,660 "," 829,122 ",  -," 829,122 "," 389,467 "," 1,185,929 ",(3.9),," 32,660 "," 1,218,589 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada," 1,061,458 "," 1,250 "," 13,700 "," 14,950 "," 1,076,408 "," 29,538 ", 714 ," 30,252 "," 1,106,660 ",  -," 1,106,660 "," 311,207 "," 1,387,615 ",(9.0),," 30,252 "," 1,417,867 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire," 688,241 ", 732 ," 9,283 "," 10,015 "," 698,256 "," 18,367 ", 484 ," 18,851 "," 717,107 ", 11 ," 717,118 "," 93,697 "," 791,953 ",(2.6),," 18,851 "," 810,804 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey," 4,062,518 "," 4,434 "," 49,728 "," 54,162 "," 4,116,680 "," 74,674 "," 2,593 "," 77,267 "," 4,193,947 ",  -," 4,193,947 "," 840,945 "," 4,957,625 ",(5.7),," 77,267 "," 5,034,892 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico," 918,678 "," 1,063 "," 16,283 "," 17,346 "," 936,024 "," 27,074 ", 849 ," 27,923 "," 963,947 ",  -," 963,947 "," 451,287 "," 1,387,311 ",(4.4),," 27,923 "," 1,415,234 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York," 5,401,103 "," 5,976 "," 101,994 "," 107,970 "," 5,509,073 "," 132,103 "," 5,317 "," 137,420 "," 5,646,493 "," (1,929)"," 5,644,564 "," 1,358,397 "," 6,867,470 ",(1.8),," 137,420 "," 7,004,890 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina," 4,149,151 "," 4,706 "," 110,477 "," 115,183 "," 4,264,334 "," 165,938 "," 2,881 "," 168,819 "," 4,433,153 ",  -," 4,433,153 "," 934,388 "," 5,198,722 ",(3.9),," 168,819 "," 5,367,541 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota," 340,110 ", 388 ," 8,079 "," 8,467 "," 348,577 "," 24,327 ", 421 ," 24,748 "," 373,325 ",  -," 373,325 "," 198,427 "," 547,004 ",6.9 ,," 24,748 "," 571,752 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio," 4,805,999 "," 5,124 "," 79,586 "," 84,710 "," 4,890,709 "," 124,085 "," 4,149 "," 128,234 "," 5,018,943 ",  -," 5,018,943 "," 1,337,712 "," 6,228,421 ",(5.3),," 128,234 "," 6,356,655 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma," 1,720,853 "," 1,891 "," 31,968 "," 33,859 "," 1,754,712 "," 86,022 "," 1,667 "," 87,689 "," 1,842,401 ", 2 ," 1,842,403 "," 730,466 "," 2,485,178 ",(5.4),," 87,689 "," 2,572,867 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon," 1,463,225 "," 1,659 "," 25,705 "," 27,364 "," 1,490,589 "," 48,871 "," 1,340 "," 50,211 "," 1,540,800 ",  -," 1,540,800 "," 502,709 "," 1,993,298 ",(3.7),," 50,211 "," 2,043,509 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania," 4,892,664 "," 5,247 "," 109,770 "," 115,017 "," 5,007,681 "," 64,013 "," 3,771 "," 67,784 "," 5,075,465 ",  -," 5,075,465 "," 1,407,282 "," 6,414,963 ",(2.4),," 67,784 "," 6,482,747 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island," 369,453 ", 416 ," 11,775 "," 12,191 "," 381,644 "," 10,640 ", 422 ," 11,062 "," 392,706 "," 3,070 "," 395,776 "," 56,173 "," 437,817 ",(3.1),," 11,062 "," 448,879 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina," 2,611,461 "," 2,619 "," 27,802 "," 30,421 "," 2,641,882 "," 78,557 "," 1,449 "," 80,006 "," 2,721,888 ",  -," 2,721,888 "," 642,772 "," 3,284,654 ",3.3 ,," 80,006 "," 3,364,660 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota," 416,546 ", 463 ," 9,422 "," 9,885 "," 426,431 "," 21,573 ", 491 ," 22,064 "," 448,495 ",  -," 448,495 "," 199,606 "," 626,037 ",2.6 ,," 22,064 "," 648,101 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee," 3,015,566 "," 3,194 "," 50,738 "," 53,932 "," 3,069,498 "," 91,580 "," 2,286 "," 93,866 "," 3,163,364 ",  -," 3,163,364 "," 826,562 "," 3,896,060 ",(4.8),," 93,866 "," 3,989,926 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas ," 11,648,256 "," 12,224 "," 152,884 "," 165,108 "," 11,813,364 "," 232,223 "," 7,971 "," 240,194 "," 12,053,558 ",  -," 12,053,558 "," 3,744,339 "," 15,557,703 ",(3.0),," 240,194 "," 15,797,897 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah," 1,002,074 "," 1,107 "," 19,915 "," 21,022 "," 1,023,096 "," 36,082 "," 1,038 "," 37,120 "," 1,060,216 ",  -," 1,060,216 "," 410,539 "," 1,433,635 ",(6.6),," 37,120 "," 1,470,755 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
