,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2010  1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEMBER 2011,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIGHWAY USE,,,,,NONHIGHWAY USE,,,,,,,HIGHWAY,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,,PUBLIC USE,,,,,,,,LOSSES,,PRIVATE,,,,NON-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRIVATE,,"STATE,",,,PRIVATE,"STATE,",,TOTAL,ACTUAL,TOTAL,AND,,PERCENT,,HIGHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AND,FEDERAL,"COUNTY,",,TOTAL,AND,"COUNTY,",TOTAL,USE,(For attribution,CONSUMPTION,COMMERCIAL,AMOUNT,CHANGE,,(GASOLINE,TOTAL,,PRIOR YEAR HIGHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMMERCIAL,CIVILIAN,AND,TOTAL,,COMMERCIAL,AND,,,purposes),,HIGHWAY USE,,FROM,,ONLY),,,USE FOR COMPARISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MUNICIPAL,,,,MUNICIPAL,,,2/,,,,PRIOR YEAR,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,16,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama," 2,557,189 "," 2,662 "," 35,465 "," 38,127 "," 2,595,316 "," 55,743 "," 1,849 "," 57,592 "," 2,652,908 "," 1,166 "," 2,654,074 "," 746,136 "," 3,341,452 ",3.7 ,," 57,592 "," 3,399,044 ",," 3,221,126 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska," 258,143 ", 339 ," 7,067 "," 7,406 "," 265,549 "," 29,690 ", 368 ," 30,058 "," 295,607 ",  -," 295,607 "," 211,545 "," 477,094 ",(10.5),," 30,058 "," 507,152 ",," 532,932 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona," 2,546,994 "," 2,813 "," 36,180 "," 38,993 "," 2,585,987 "," 64,263 "," 1,886 "," 66,149 "," 2,652,136 ",  -," 2,652,136 "," 775,818 "," 3,361,805 ",1.9 ,," 66,149 "," 3,427,954 ",," 3,298,199 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas," 1,381,751 "," 1,464 "," 25,040 "," 26,504 "," 1,408,255 "," 56,529 "," 1,305 "," 57,834 "," 1,466,089 ", 23 ," 1,466,112 "," 619,188 "," 2,027,443 ",1.4 ,," 57,834 "," 2,085,277 ",," 1,998,936 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California," 14,331,219 "," 15,696 "," 208,122 "," 223,818 "," 14,555,037 "," 324,538 "," 10,850 "," 335,388 "," 14,890,425 ",  -," 14,890,425 "," 2,732,917 "," 17,287,954 ",(0.1),," 335,388 "," 17,623,342 ",," 17,303,389 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ," 2,057,179 "," 2,238 "," 33,987 "," 36,225 "," 2,093,404 "," 51,127 "," 1,772 "," 52,899 "," 2,146,303 ",  -," 2,146,303 "," 539,797 "," 2,633,201 ",1.9 ,," 52,899 "," 2,686,100 ",," 2,585,039 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut," 1,438,522 "," 1,575 "," 19,657 "," 21,232 "," 1,459,754 "," 39,378 "," 1,025 "," 40,403 "," 1,500,157 "," 14,465 "," 1,514,622 "," 270,327 "," 1,730,081 ",(1.0),," 40,403 "," 1,770,484 ",," 1,747,650 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware," 417,627 ", 441 ," 7,258 "," 7,699 "," 425,326 "," 21,442 ", 274 ," 21,716 "," 447,042 "," 7,210 "," 454,252 "," 61,039 "," 486,365 ",(0.6),," 21,716 "," 508,081 ",," 489,199 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. of Col.," 93,837 ", 250 ," 8,995 "," 9,245 "," 103,082 "," 11,032 ", 275 ," 11,307 "," 114,389 ", 5 ," 114,394 "," 21,557 "," 124,639 ",(3.4),," 11,307 "," 135,946 ",," 129,012 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida," 7,763,297 "," 8,364 "," 121,516 "," 129,880 "," 7,893,177 "," 344,339 "," 4,911 "," 349,250 "," 8,242,427 ",  -," 8,242,427 "," 1,359,251 "," 9,252,428 ",(0.5),," 349,250 "," 9,601,678 ",," 9,298,510 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia," 4,734,636 "," 4,981 "," 57,117 "," 62,098 "," 4,796,734 "," 84,876 "," 2,978 "," 87,854 "," 4,884,588 ",  -," 4,884,588 "," 1,265,888 "," 6,062,622 ",1.2 ,," 87,854 "," 6,150,476 ",," 5,987,776 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii," 399,411 ", 477 ," 9,713 "," 10,190 "," 409,601 "," 10,063 ", 506 ," 10,569 "," 420,170 ",  -," 420,170 "," 52,401 "," 462,002 ",(5.1),," 10,569 "," 472,571 ",," 486,740 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho," 643,578 ", 734 ," 12,970 "," 13,704 "," 657,282 "," 35,927 ", 676 ," 36,603 "," 693,885 ",  -," 693,885 "," 256,676 "," 913,958 ",5.4 ,," 36,603 "," 950,561 ",," 867,509 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois," 4,666,484 "," 5,049 "," 88,646 "," 93,695 "," 4,760,179 "," 128,776 "," 4,622 "," 133,398 "," 4,893,577 "," (42,200)"," 4,851,377 "," 1,404,220 "," 6,164,399 ",(0.1),," 133,398 "," 6,297,797 ",," 6,172,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana," 2,989,971 "," 3,023 "," 47,901 "," 50,924 "," 3,040,895 "," 98,507 "," 2,497 "," 101,004 "," 3,141,899 ",  -," 3,141,899 "," 1,223,102 "," 4,263,997 ",4.8 ,," 101,004 "," 4,365,001 ",," 4,069,394 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa," 1,513,039 "," 1,587 "," 29,409 "," 30,996 "," 1,544,035 "," 166,646 "," 1,533 "," 168,179 "," 1,712,214 ", 1 ," 1,712,215 "," 644,523 "," 2,188,558 ",3.2 ,," 168,179 "," 2,356,737 ",," 2,120,655 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas," 1,268,243 "," 1,340 "," 27,239 "," 28,579 "," 1,296,822 "," 40,194 "," 1,420 "," 41,614 "," 1,338,436 ", 14 ," 1,338,450 "," 477,025 "," 1,773,847 ",3.1 ,," 41,614 "," 1,815,461 ",," 1,719,807 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky," 2,132,124 "," 2,286 "," 34,380 "," 36,666 "," 2,168,790 "," 50,712 "," 1,792 "," 52,504 "," 2,221,294 ",  -," 2,221,294 "," 785,918 "," 2,954,708 ",1.7 ,," 52,504 "," 3,007,212 ",," 2,905,749 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana," 2,179,162 "," 2,329 "," 34,598 "," 36,927 "," 2,216,089 "," 84,784 "," 1,804 "," 86,588 "," 2,302,677 ",  -," 2,302,677 "," 738,516 "," 2,954,605 ",0.9 ,," 86,588 "," 3,041,193 ",," 2,926,952 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine," 644,426 ", 679 ," 9,721 "," 10,400 "," 654,826 "," 21,658 ", 507 ," 22,165 "," 676,991 "," 2,929 "," 679,920 "," 186,101 "," 840,927 ",(0.5),," 22,165 "," 863,092 ",," 844,930 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland," 2,591,169 "," 3,005 "," 27,397 "," 30,402 "," 2,621,571 "," 55,961 "," 1,428 "," 57,389 "," 2,678,960 "," 38,244 "," 2,717,204 "," 524,617 "," 3,146,188 ",(5.6),," 57,389 "," 3,203,577 ",," 3,333,197 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts  ," 2,695,687 "," 2,900 "," 34,914 "," 37,814 "," 2,733,501 "," 56,621 "," 1,820 "," 58,441 "," 2,791,942 ",  -," 2,791,942 "," 398,474 "," 3,131,975 ",0.5 ,," 58,441 "," 3,190,416 ",," 3,114,975 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan," 4,356,032 "," 4,658 "," 65,605 "," 70,263 "," 4,426,295 "," 116,931 "," 3,420 "," 120,351 "," 4,546,646 ",  -," 4,546,646 "," 821,626 "," 5,247,921 ",0.5 ,," 120,351 "," 5,368,272 ",," 5,220,917 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota," 2,406,408 "," 2,541 "," 43,872 "," 46,413 "," 2,452,821 "," 128,083 "," 2,287 "," 130,370 "," 2,583,191 ",  -," 2,583,191 "," 632,501 "," 3,085,322 ",1.7 ,," 130,370 "," 3,215,692 ",," 3,033,218 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi," 1,580,285 "," 1,621 "," 25,678 "," 27,299 "," 1,607,584 "," 44,574 "," 1,339 "," 45,913 "," 1,653,497 ",  -," 1,653,497 "," 563,039 "," 2,170,623 ",3.7 ,," 45,913 "," 2,216,536 ",," 2,093,052 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri," 3,091,832 "," 3,248 "," 45,863 "," 49,111 "," 3,140,943 "," 74,988 "," 2,391 "," 77,379 "," 3,218,322 ",  -," 3,218,322 "," 985,786 "," 4,126,729 ",1.2 ,," 77,379 "," 4,204,108 ",," 4,076,896 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana," 469,964 ", 581 ," 10,100 "," 10,681 "," 480,645 "," 19,563 ", 527 ," 20,090 "," 500,735 ",  -," 500,735 "," 245,823 "," 726,468 ",2.5 ,," 20,090 "," 746,558 ",," 709,037 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska," 801,224 ", 870 ," 17,798 "," 18,668 "," 819,892 "," 34,121 ", 928 ," 35,049 "," 854,941 ",  -," 854,941 "," 426,249 "," 1,246,141 ",5.1 ,," 35,049 "," 1,281,190 ",," 1,185,929 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada," 1,057,830 "," 1,225 "," 13,771 "," 14,996 "," 1,072,826 "," 21,913 ", 718 ," 22,631 "," 1,095,457 ",  -," 1,095,457 "," 308,846 "," 1,381,672 ",(0.4),," 22,631 "," 1,404,303 ",," 1,387,615 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire," 688,834 ", 731 ," 9,323 "," 10,054 "," 698,888 "," 18,880 ", 486 ," 19,366 "," 718,254 ", (6)," 718,248 "," 94,210 "," 793,098 ",0.1 ,," 19,366 "," 812,464 ",," 791,953 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey," 4,047,250 "," 4,352 "," 49,983 "," 54,335 "," 4,101,585 "," 86,457 "," 2,606 "," 89,063 "," 4,190,648 ",  -," 4,190,648 "," 794,560 "," 4,896,145 ",(1.2),," 89,063 "," 4,985,208 ",," 4,957,625 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico," 871,954 "," 1,106 "," 16,293 "," 17,399 "," 889,353 "," 21,815 ", 849 ," 22,664 "," 912,017 ",  -," 912,017 "," 473,760 "," 1,363,113 ",(1.7),," 22,664 "," 1,385,777 ",," 1,387,311 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York," 5,510,914 "," 6,034 "," 102,107 "," 108,141 "," 5,619,055 "," 160,584 "," 5,323 "," 165,907 "," 5,784,962 "," (4,945)"," 5,780,017 "," 1,358,578 "," 6,977,633 ",1.6 ,," 165,907 "," 7,143,540 ",," 6,867,470 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina," 4,244,668 "," 4,359 "," 94,633 "," 98,992 "," 4,343,660 "," 152,964 "," 2,890 "," 155,854 "," 4,499,514 ",  -," 4,499,514 "," 991,654 "," 5,335,314 ",2.6 ,," 155,854 "," 5,491,168 ",," 5,198,722 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota," 362,563 ", 399 ," 8,076 "," 8,475 "," 371,038 "," 17,587 ", 421 ," 18,008 "," 389,046 ",  -," 389,046 "," 239,161 "," 610,199 ",11.6 ,," 18,008 "," 628,207 ",," 547,004 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio," 4,867,687 "," 5,075 "," 79,693 "," 84,768 "," 4,952,455 "," 114,536 "," 4,155 "," 118,691 "," 5,071,146 ",  -," 5,071,146 "," 1,452,070 "," 6,404,525 ",2.8 ,," 118,691 "," 6,523,216 ",," 6,228,421 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma," 1,822,184 "," 1,883 "," 31,940 "," 33,823 "," 1,856,007 "," 67,953 "," 1,665 "," 69,618 "," 1,925,625 ", 445 ," 1,926,070 "," 777,553 "," 2,633,560 ",6.0 ,," 69,618 "," 2,703,178 ",," 2,485,178 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon," 1,455,777 "," 1,685 "," 25,739 "," 27,424 "," 1,483,201 "," 51,250 "," 1,342 "," 52,592 "," 1,535,793 ",  -," 1,535,793 "," 518,080 "," 2,001,281 ",0.4 ,," 52,592 "," 2,053,873 ",," 1,993,298 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania," 4,943,669 "," 5,328 "," 72,449 "," 77,777 "," 5,021,446 "," 116,336 "," 3,777 "," 120,113 "," 5,141,559 ",  -," 5,141,559 "," 1,500,590 "," 6,522,036 ",1.7 ,," 120,113 "," 6,642,149 ",," 6,414,963 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island," 374,945 ", 407 ," 8,149 "," 8,556 "," 383,501 "," 9,049 ", 425 ," 9,474 "," 392,975 "," (9,778)"," 383,197 "," 62,575 "," 446,076 ",1.9 ,," 9,474 "," 455,550 ",," 437,817 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina," 2,543,814 "," 2,766 "," 27,824 "," 30,590 "," 2,574,404 "," 67,594 "," 1,451 "," 69,045 "," 2,643,449 ",  -," 2,643,449 "," 661,787 "," 3,236,191 ",(1.5),," 69,045 "," 3,305,236 ",," 3,284,654 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota," 415,780 ", 489 ," 9,413 "," 9,902 "," 425,682 "," 18,111 ", 491 ," 18,602 "," 444,284 ",  -," 444,284 "," 208,181 "," 633,863 ",1.3 ,," 18,602 "," 652,465 ",," 626,037 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
