,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2011 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVISED JUNE 2013,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIGHWAY USE,,,,,NONHIGHWAY USE,,,,,,,HIGHWAY,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PUBLIC USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,PRIVATE AND COMMERCIAL,FEDERAL CIVILIAN,"STATE, COUNTY AND MUNICIPAL",TOTAL,TOTAL,PRIVATE AND COMMERCIAL,"STATE, COUNTY, AND MUNICIPAL",TOTAL,TOTAL USE,LOSSES    ACTUAL                (2),TOTAL CONSUMPTION,PRIVATE AND COMMERCIAL HIGHWAY USE  ,AMOUNT,PERCENT CHANGE FROM PRIOR YEAR,,NON-HIGHWAY (GASOLINE ONLY),TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama," 2,499,967 "," 2,790 "," 35,939 "," 38,729 "," 2,538,696 "," 52,446 "," 1,877 "," 54,323 "," 2,593,019 "," 4,772 "," 2,597,791 "," 748,449 "," 3,287,145 ",(1.6),," 54,323 "," 3,341,468 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska," 252,253 ", 416 ," 7,152 "," 7,568 "," 259,821 "," 29,542 ", 373 ," 29,915 "," 289,736 ",  -," 289,736 "," 142,359 "," 402,180 ",(15.7),," 29,915 "," 432,095 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona," 2,524,560 "," 3,178 "," 35,767 "," 38,945 "," 2,563,505 "," 63,448 "," 1,865 "," 65,313 "," 2,628,818 ",  -," 2,628,818 "," 780,407 "," 3,343,912 ",(0.5),," 65,313 "," 3,409,225 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas," 1,345,482 "," 1,501 "," 25,200 "," 26,701 "," 1,372,183 "," 51,864 "," 1,314 "," 53,178 "," 1,425,361 ", 20 ," 1,425,381 "," 603,305 "," 1,975,488 ",(2.6),," 53,178 "," 2,028,666 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California," 14,052,716 "," 16,427 "," 206,912 "," 223,339 "," 14,276,055 "," 328,746 "," 10,787 "," 339,533 "," 14,615,588 ",  -," 14,615,588 "," 2,766,945 "," 17,043,000 ",(1.4),," 339,533 "," 17,382,533 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ," 2,042,094 "," 2,429 "," 34,764 "," 37,193 "," 2,079,287 "," 47,288 "," 1,812 "," 49,100 "," 2,128,387 ", 15 ," 2,128,402 "," 542,783 "," 2,622,070 ",(0.4),," 49,100 "," 2,671,170 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut," 1,410,958 "," 1,585 "," 19,663 "," 21,248 "," 1,432,206 "," 40,011 "," 1,025 "," 41,036 "," 1,473,242 "," (5,289)"," 1,467,953 "," 275,814 "," 1,708,020 ",(1.3),," 41,036 "," 1,749,056 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware," 403,885 ", 456 ," 5,293 "," 5,749 "," 409,634 "," 25,413 ", 276 ," 25,689 "," 435,323 "," 3,073 "," 438,396 "," 61,119 "," 470,753 ",(3.2),," 25,689 "," 496,442 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. of Col.," 98,907 ", 525 ," 5,644 "," 6,169 "," 105,076 "," 2,025 ", 294 ," 2,319 "," 107,395 ", 6 ," 107,401 "," 18,007 "," 123,083 ",(1.2),," 2,319 "," 125,402 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida," 7,732,109 "," 8,820 "," 93,777 "," 102,597 "," 7,834,706 "," 309,414 "," 4,889 "," 314,303 "," 8,149,009 ",  -," 8,149,009 "," 1,349,344 "," 9,184,050 ",(0.7),," 314,303 "," 9,498,353 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia," 4,568,206 "," 5,216 "," 57,485 "," 62,701 "," 4,630,907 "," 88,076 "," 2,997 "," 91,073 "," 4,721,980 ",  -," 4,721,980 "," 1,191,556 "," 5,822,463 ",(4.0),," 91,073 "," 5,913,536 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii," 450,868 ", 652 ," 9,811 "," 10,463 "," 461,331 "," 10,094 ", 512 ," 10,606 "," 471,937 ",  -," 471,937 "," 48,796 "," 510,127 ",10.4 ,," 10,606 "," 520,733 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho," 629,227 ", 813 ," 13,130 "," 13,943 "," 643,170 "," 35,197 ", 685 ," 35,882 "," 679,052 ",  -," 679,052 "," 256,599 "," 899,769 ",(1.6),," 35,882 "," 935,651 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
