,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2012   (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULY 2013,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIGHWAY USE,,,,,NONHIGHWAY USE,,,,,,,HIGHWAY,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PUBLIC USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,PRIVATE AND COMMERCIAL,FEDERAL CIVILIAN,"STATE, COUNTY AND MUNICIPAL",TOTAL,TOTAL,PRIVATE AND COMMERCIAL,"STATE, COUNTY, AND MUNICIPAL",TOTAL,TOTAL USE,"LOSSES ALLOWED  FOR EVAPORATION, HANDLING, ETC.  (2)",TOTAL CONSUMPTION,PRIVATE AND COMMERCIAL HIGHWAY USE  ,AMOUNT,PERCENT CHANGE FROM PRIOR YEAR,,NON-HIGHWAY (GASOLINE ONLY),TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama," 2,482,282 "," 2,789 "," 35,998 "," 38,787 "," 2,521,069 "," 52,506 "," 1,876 "," 54,382 "," 2,575,451 "," 1,584 "," 2,577,035 "," 730,942 "," 3,252,011 ",(1.1),," 54,382 "," 3,306,393 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska," 260,224 ", 411 ," 7,148 "," 7,559 "," 267,783 "," 20,586 ", 369 ," 20,955 "," 288,738 ",  -," 288,738 "," 155,848 "," 423,631 ",5.3 ,," 20,955 "," 444,586 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona," 2,516,339 "," 3,173 "," 35,762 "," 38,935 "," 2,555,274 "," 59,845 "," 1,859 "," 61,704 "," 2,616,978 ",  -," 2,616,978 "," 766,195 "," 3,321,469 ",(0.7),," 61,704 "," 3,383,173 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas," 1,339,977 "," 1,515 "," 25,214 "," 26,729 "," 1,366,706 "," 51,781 "," 1,328 "," 53,109 "," 1,419,815 "," 14,366 "," 1,434,181 "," 606,650 "," 1,973,356 ",(0.1),," 53,109 "," 2,026,465 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California," 13,997,910 "," 16,401 "," 206,887 "," 223,288 "," 14,221,198 "," 293,731 "," 10,762 "," 304,493 "," 14,525,691 ",  -," 14,525,691 "," 2,748,351 "," 16,969,549 ",(0.4),," 304,493 "," 17,274,042 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ," 2,027,925 "," 2,453 "," 34,787 "," 37,240 "," 2,065,165 "," 48,871 "," 1,836 "," 50,707 "," 2,115,872 "," 21,372 "," 2,137,244 "," 558,555 "," 2,623,720 ",0.1 ,," 50,707 "," 2,674,427 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut," 1,394,092 "," 1,582 "," 19,660 "," 21,242 "," 1,415,334 "," 33,221 "," 1,022 "," 34,243 "," 1,449,577 ", (193)," 1,449,384 "," 269,438 "," 1,684,772 ",(1.4),," 34,243 "," 1,719,015 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware," 398,897 ", 452 ," 6,610 "," 7,062 "," 405,959 "," 27,705 ", 272 ," 27,977 "," 433,936 "," 2,770 "," 436,706 "," 60,644 "," 466,603 ",(0.9),," 27,977 "," 494,580 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. of Col.," 88,229 ", 533 ," 5,652 "," 6,185 "," 94,414 "," 2,019 ", 302 ," 2,321 "," 96,735 ", 4 ," 96,739 "," 16,559 "," 110,973 ",(9.8),," 2,321 "," 113,294 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida," 7,777,218 "," 8,969 "," 100,178 "," 109,147 "," 7,886,365 "," 259,175 "," 5,037 "," 264,212 "," 8,150,577 ",  -," 8,150,577 "," 1,358,480 "," 9,244,845 ",0.7 ,," 264,212 "," 9,509,057 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia," 4,547,375 "," 5,206 "," 57,474 "," 62,680 "," 4,610,055 "," 78,436 "," 2,987 "," 81,423 "," 4,691,478 ",  -," 4,691,478 "," 1,130,190 "," 5,740,245 ",(1.4),," 81,423 "," 5,821,668 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii," 426,444 ", 655 ," 9,814 "," 10,469 "," 436,913 "," 8,359 ", 515 ," 8,874 "," 445,787 "," 4,499 "," 450,286 "," 50,308 "," 487,221 ",(4.5),," 8,874 "," 496,095 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho," 646,578 ", 819 ," 13,136 "," 13,955 "," 660,533 "," 36,341 ", 691 ," 37,032 "," 697,565 "," 7,046 "," 704,611 "," 258,660 "," 919,193 ",2.2 ,," 37,032 "," 956,225 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
