,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2013   (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEMBER 2014,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIGHWAY USE,,,,,NONHIGHWAY USE,,,,,,,HIGHWAY,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PUBLIC USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,PRIVATE AND COMMERCIAL,FEDERAL CIVILIAN,"STATE, COUNTY AND MUNICIPAL",TOTAL,TOTAL,PRIVATE AND COMMERCIAL,"STATE, COUNTY, AND MUNICIPAL",TOTAL,TOTAL USE,"LOSSES ALLOWED  FOR EVAPORATION, HANDLING, ETC.  2/",TOTAL CONSUMPTION,PRIVATE AND COMMERCIAL HIGHWAY USE  ,AMOUNT,PERCENT CHANGE FROM PRIOR YEAR,,NON-HIGHWAY (GASOLINE ONLY),TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama," 2,480,618 "," 2,777 "," 36,358 "," 39,135 "," 2,519,753 "," 49,401 "," 1,913 "," 51,314 "," 2,571,067 ",  -," 2,571,067 "," 736,632 "," 3,256,385 ",0.1 ,," 51,314 "," 3,307,699 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska," 244,057 ", 416 ," 7,219 "," 7,635 "," 251,692 "," 26,562 ", 376 ," 26,938 "," 278,630 ",  -," 278,630 "," 133,340 "," 385,032 ",(9.1),," 26,938 "," 411,970 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona," 2,539,158 "," 3,155 "," 36,120 "," 39,275 "," 2,578,433 "," 65,793 "," 1,896 "," 67,689 "," 2,646,122 ",  -," 2,646,122 "," 716,898 "," 3,295,331 ",(0.8),," 67,689 "," 3,363,020 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas," 1,315,134 "," 1,504 "," 25,466 "," 26,970 "," 1,342,104 "," 52,890 "," 1,354 "," 54,244 "," 1,396,348 "," 14,111 "," 1,410,459 "," 598,371 "," 1,940,475 ",(1.7),," 54,244 "," 1,994,719 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California," 13,976,643 "," 16,341 "," 208,955 "," 225,296 "," 14,201,939 "," 340,389 "," 10,977 "," 351,366 "," 14,553,305 ",  -," 14,553,305 "," 2,859,342 "," 17,061,281 ",0.5 ,," 351,366 "," 17,412,647 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ," 2,058,191 "," 2,434 "," 35,135 "," 37,569 "," 2,095,760 "," 45,529 "," 1,873 "," 47,402 "," 2,143,162 "," 21,648 "," 2,164,810 "," 565,577 "," 2,661,337 ",1.4 ,," 47,402 "," 2,708,739 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut," 1,377,258 "," 1,556 "," 19,856 "," 21,412 "," 1,398,670 "," 37,591 "," 1,042 "," 38,633 "," 1,437,303 "," 1,322 "," 1,438,625 "," 269,903 "," 1,668,573 ",(1.0),," 38,633 "," 1,707,206 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware," 401,407 ", 450 ," 6,487 "," 6,937 "," 408,344 "," 22,407 ", 278 ," 22,685 "," 431,029 "," 3,099 "," 434,128 "," 61,172 "," 469,516 ",0.6 ,," 22,685 "," 492,201 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. of Col.," 88,442 ", 520 ," 5,708 "," 6,228 "," 94,670 "," 2,001 ", 308 ," 2,309 "," 96,979 ", 18 ," 96,997 "," 16,360 "," 111,030 ",0.1 ,," 2,309 "," 113,339 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida," 7,850,982 "," 8,841 "," 94,865 "," 103,706 "," 7,954,688 "," 286,009 "," 5,138 "," 291,147 "," 8,245,835 ",  -," 8,245,835 "," 1,415,621 "," 9,370,309 ",1.4 ,," 291,147 "," 9,661,456 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia," 4,673,752 "," 5,165 "," 58,049 "," 63,214 "," 4,736,966 "," 87,071 "," 3,047 "," 90,118 "," 4,827,084 ",  -," 4,827,084 "," 1,248,710 "," 5,985,676 ",4.3 ,," 90,118 "," 6,075,794 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii," 427,118 ", 611 ," 9,912 "," 10,523 "," 437,641 "," 9,448 ", 525 ," 9,973 "," 447,614 "," 4,515 "," 452,129 "," 53,331 "," 490,972 ",0.8 ,," 9,973 "," 500,945 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho," 652,502 ", 832 ," 13,267 "," 14,099 "," 666,601 "," 35,857 ", 705 ," 36,562 "," 703,163 "," 7,103 "," 710,266 "," 263,379 "," 929,980 ",1.2 ,," 36,562 "," 966,542 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
