,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2014   (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULY 2016,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIGHWAY USE,,,,,NONHIGHWAY USE,,,,,,,HIGHWAY,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PUBLIC USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,PRIVATE AND COMMERCIAL,FEDERAL CIVILIAN,"STATE, COUNTY AND MUNICIPAL",TOTAL,TOTAL,PRIVATE AND COMMERCIAL,"STATE, COUNTY, AND MUNICIPAL",TOTAL,TOTAL USE,"LOSSES ALLOWED  FOR EVAPORATION, HANDLING, ETC.  2/",TOTAL CONSUMPTION,PRIVATE AND COMMERCIAL HIGHWAY USE  ,AMOUNT,PERCENT CHANGE FROM PRIOR YEAR,,NON-HIGHWAY (GASOLINE ONLY),TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama," 2,537,927 "," 3,002 "," 35,999 "," 39,001 "," 2,576,928 "," 51,946 "," 1,877 "," 53,823 "," 2,630,751 ",  -," 2,630,751 ","779,280 "," 3,356,208 ",2.2 ,," 53,823 "," 3,410,031 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska," 266,369 ", 553 ," 7,152 "," 7,705 "," 274,074 "," 21,361 ", 373 ," 21,734 "," 295,808 ",  -," 295,808 ","195,883 "," 469,957 ",22.1 ,," 21,734 "," 491,691 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona," 2,624,178 "," 3,708 "," 35,767 "," 39,475 "," 2,663,653 "," 63,107 "," 1,865 "," 64,972 "," 2,728,625 ",  -," 2,728,625 ","770,076 "," 3,433,729 ",2.6 ,," 64,972 "," 3,498,701 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas," 1,394,005 "," 1,632 "," 25,200 "," 26,832 "," 1,420,837 "," 48,717 "," 1,314 "," 50,031 "," 1,470,868 ",-," 1,470,868 ","612,785 "," 2,033,622 ",4.8 ,," 50,031 "," 2,083,653 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
California," 14,434,881 "," 18,318 "," 206,912 "," 225,230 "," 14,660,111 "," 272,200 "," 10,787 "," 282,987 "," 14,943,098 ",  -," 14,943,098 ","2,918,733 "," 17,578,844 ",2.8 ,," 282,987 "," 17,861,831 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ," 2,176,382 "," 2,778 "," 34,764 "," 37,542 "," 2,213,924 "," 41,764 "," 1,812 "," 43,576 "," 2,257,500 ", 3 ," 2,257,503 ","615,730 "," 2,829,654 ",5.5 ,," 43,576 "," 2,873,230 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut," 1,397,749 "," 1,696 "," 19,663 "," 21,359 "," 1,419,108 "," 30,572 "," 1,025 "," 31,597 "," 1,450,705 "," 5,521 "," 1,456,226 ","270,988 "," 1,690,096 ",1.3 ,," 31,597 "," 1,721,693 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware," 412,164 ", 490 ," 5,293 "," 5,783 "," 417,947 "," 22,258 ", 276 ," 22,534 "," 440,481 "," 7,572 "," 448,053 ","63,892 "," 481,839 ",2.6 ,," 22,534 "," 504,373 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. of Col.," 101,097 ", 974 ," 5,644 "," 6,618 "," 107,715 "," 2,397 ", 294 ," 2,691 "," 110,406 ",  -," 110,406 ","17,680 "," 125,395 ",12.9 ,," 2,691 "," 128,086 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida," 8,144,674 "," 9,735 "," 93,777 "," 103,512 "," 8,248,186 "," 284,950 "," 4,889 "," 289,839 "," 8,538,025 ",  -," 8,538,025 ","1,442,091 "," 9,690,277 ",3.4 ,," 289,839 "," 9,980,116 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia," 4,605,011 "," 5,667 "," 57,485 "," 63,152 "," 4,668,163 "," 79,426 "," 2,997 "," 82,423 "," 4,750,586 ",  -," 4,750,586 ","1,253,328 "," 5,921,491 ",(1.1),," 82,423 "," 6,003,914 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii," 444,649 ", 819 ," 9,811 "," 10,630 "," 455,279 "," 10,484 ", 512 ," 10,996 "," 466,275 ",  -," 466,275 ","47,996 "," 503,275 ",1.6 ,," 10,996 "," 514,271 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho," 689,762 ", 990 ," 13,130 "," 14,120 "," 703,882 "," 34,980 ", 685 ," 35,665 "," 739,547 ",  -," 739,547 ","265,840 "," 969,722 ",3.5 ,," 35,665 "," 1,005,387 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois," 4,551,204 "," 5,522 "," 88,486 "," 94,008 "," 4,645,212 "," 96,530 "," 4,613 "," 101,143 "," 4,746,355 "," 5,345 "," 4,751,700 ","1,511,375 "," 6,156,587 ",2.7 ,," 101,143 "," 6,257,730 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
