,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2015   (1),,,,,,,,,,,,,,,,,,"(this part only used for calucation, not actual final U9:U63)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNE 2017,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIGHWAY USE,,,,,NONHIGHWAY USE,,,,,,,HIGHWAY,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PUBLIC USE,,,,,,,,,,,,,,,,,USE MF-21 IN HTF Directory (usd for Attribution),,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,PRIVATE AND COMMERCIAL,FEDERAL CIVILIAN,"STATE, COUNTY AND MUNICIPAL",TOTAL,TOTAL,PRIVATE AND COMMERCIAL,"STATE, COUNTY, AND MUNICIPAL",TOTAL,TOTAL USE,"LOSSES ALLOWED  FOR EVAPORATION, HANDLING, ETC.  2/",TOTAL CONSUMPTION,PRIVATE AND COMMERCIAL HIGHWAY USE  ,AMOUNT,PERCENT CHANGE FROM PRIOR YEAR,,NON-HIGHWAY (GASOLINE ONLY),TOTAL,,PRIOR YEAR HIGHAY USE FOR COMPARISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,15,16,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama," 2,478,641 "," 3,011 "," 22,524 "," 25,535 "," 2,504,176 "," 188,249 "," 1,196 "," 189,445 "," 2,693,621 ",  -," 2,693,621 "," 828,453 "," 3,332,629 ",(0.7),," 189,445 "," 3,522,074 ",Alabama," 3,356,208 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska," 233,905 "," 1,900 "," 7,575 "," 9,475 "," 243,380 "," 48,902 ", 394 ," 49,296 "," 292,676 ",  -," 292,676 "," 140,241 "," 383,621 ",(18.4),," 49,296 "," 432,917 ",Alaska," 469,957 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona," 2,568,013 "," 7,349 "," 30,998 "," 38,347 "," 2,606,360 "," 209,194 "," 1,617 "," 210,811 "," 2,817,171 ",  -," 2,817,171 "," 807,771 "," 3,414,131 ",(0.6),," 210,811 "," 3,624,942 ",Arizona," 3,433,729 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas," 1,312,794 "," 1,824 "," 28,578 "," 30,402 "," 1,343,196 "," 126,909 "," 1,499 "," 128,408 "," 1,471,604 ", 3 ," 1,471,607 "," 616,900 "," 1,960,096 ",(3.6),," 128,408 "," 2,088,504 ",Arkansas," 2,033,622 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
California," 13,792,870 "," 27,004 "," 368,468 "," 395,472 "," 14,188,342 "," 912,390 "," 19,231 "," 931,621 "," 15,119,963 ",  -," 15,119,963 "," 3,012,037 "," 17,200,379 ",(2.2),," 931,621 "," 18,132,000 ",California," 17,578,844 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ," 2,122,264 "," 4,742 "," 26,824 "," 31,566 "," 2,153,830 "," 159,055 "," 1,408 "," 160,463 "," 2,314,293 ",  -," 2,314,293 "," 632,959 "," 2,786,789 ",(1.5),," 160,463 "," 2,947,252 ",Colorado ," 2,829,654 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
