FUNCTIONAL  SYSTEM  TRAVEL - 2004  1/,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
5-Oct,,,,,,,( MILLIONS ),,,,,,,,TABLE  VM-2
,RURAL,,,,,,,URBAN,,,,,,,
,,OTHER,,,,,,,OTHER,OTHER,,,,,
STATE,INTERSTATE,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,COLLECTOR,LOCAL,TOTAL,TOTAL
,,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,,,,
Alabama,"6,322","6,201","4,753","5,033","1,564","6,204","30,077","6,617",589,"7,460","5,067","1,869","7,356","28,958","59,035"
Alaska,832,327,156,473,156,498,"2,442",681, -,474,755,340,298,"2,548","4,990"
Arizona,"7,231","2,982","1,990","2,725",570,"1,884","17,382","5,880","6,351","11,276","6,477","4,474","5,496","39,954","57,336"
Arkansas,"4,704","4,804","3,312","4,655",650,"1,816","19,941","3,317",803,"3,123","2,582",869,"1,013","11,707","31,648"
California,"20,226","19,910","10,684","10,085","2,873","2,932","66,710","69,603","53,563","56,195","47,823","15,619","19,404","262,207","328,917"
Colorado,"4,418","3,948","2,796","1,511",746,"1,491","14,910","6,448","4,353","10,016","4,938","2,133","3,093","30,981","45,891"
Connecticut,703,822,483,"1,012",156,793,"3,969","9,411","3,854","3,790","5,374","2,517","2,693","27,639","31,608"
Delaware, -,"1,241",308,598,74,473,"2,694","1,410",180,"2,167",943,696,"1,211","6,607","9,301"
Dist. of Columbia, -, -, -, -, -, -, -,442,443,991,840,294,732,"3,742","3,742"
Florida,"9,530","10,423","4,390","3,662","1,389","6,903","36,297","23,879","11,283","39,860","28,799","19,529","36,797","160,147","196,444"
Georgia,"10,220","6,775","7,598","6,540","4,316","8,546","43,995","20,444","2,574","13,084","16,256","4,905","11,362","68,625","112,620"
Hawaii,103,968,717,391,42,623,"2,844","1,793",559,"1,547",595,867,"1,520","6,881","9,725"
Idaho,"2,132","2,175",917,"1,106",254,"2,389","8,973","1,225", -,"1,702","1,443",626,760,"5,756","14,729"
Illinois,"10,778","4,658","4,974","6,406",504,"4,328","31,648","21,198","1,194","21,628","16,185","8,463","8,819","77,487","109,135"
Indiana,"8,716","5,836","4,643","12,003","2,559","3,379","37,136","7,409","1,252","10,463","7,666","2,338","6,449","35,577","72,713"
Iowa,"4,725","5,741","2,906","3,350",893,"1,580","19,195","2,509", -,"3,684","3,293","1,006","1,851","12,343","31,538"
Kansas,"3,506","4,628","2,415","2,672",285,"1,586","15,092","3,425","1,478","3,207","2,894","1,055","2,021","14,080","29,172"
Kentucky,"6,626","7,085","2,755","5,066","2,402","3,417","27,351","6,082",773,"5,659","3,628","1,666","2,163","19,971","47,322"
Louisiana,"6,077","2,904","3,452","4,657","1,719","2,794","21,603","6,398",465,"7,186","5,669","2,130","1,156","23,004","44,607"
Maine,"2,462","1,994","1,894","2,634",859,"1,331","11,174",661,159,971,965,685,333,"3,774","14,948"
Maryland,"3,355","3,451","2,330","2,180",847,"1,640","13,803","13,313","5,595","10,071","6,356","3,169","2,977","41,481","55,284"
Massachusetts,"1,294",794,593,622,156,686,"4,145","15,273","5,143","11,421","8,647","2,860","7,282","50,626","54,771"
Michigan,"5,877","7,428","5,742","9,250","1,328","2,440","32,065","16,791","5,827","19,110","15,131","6,458","7,944","71,261","103,326"
Minnesota,"5,049","7,533","5,634","4,940","1,430","3,126","27,712","7,455","3,236","3,908","8,044","2,409","3,806","28,858","56,570"
Mississippi,"3,708","5,487","3,977","4,467",490,"5,985","24,114","3,229",499,"4,909","2,118","1,615","2,947","15,317","39,431"
Missouri,"7,206","9,936","4,350","5,549",713,"3,758","31,512","10,979","4,312","6,336","4,778","2,778","8,299","37,482","68,994"
Montana,"2,488","2,382","1,210","1,214",398,935,"8,627",349, -,926,536,231,538,"2,580","11,207"
Nebraska,"2,795","3,093","2,572","1,681",266,"1,079","11,486","1,173",271,"2,742","1,905",593,"1,001","7,685","19,171"
Nevada,"2,102","1,540",608,644,208,892,"5,994","2,385","1,539","2,350","3,726","1,647","1,713","13,360","19,354"
New Hampshire,"2,030","2,014","1,179","1,451",569,733,"7,976","1,020",686,"1,120","1,507",451,456,"5,240","13,216"
New Jersey,"1,364","2,111",873,"1,062",619,995,"7,024","12,915","11,466","16,717","10,501","4,454","9,767","65,820","72,844"
New Mexico,"4,466","3,091","1,722","1,310",564,"2,161","13,314","2,489",4,"4,248","1,433","1,119","1,335","10,628","23,942"
New York,"8,143","5,398","6,205","5,646","9,424","4,614","39,430","18,655","17,207","17,767","22,291","8,266","14,282","98,468","137,898"
North Carolina,"8,515","10,097","7,050","11,371","4,172","5,978","47,183","10,242","4,255","9,908","8,527","2,477","13,311","48,720","95,903"
North Dakota,"1,389","1,567",638,"1,080", -,940,"5,614",350, -,637,456,247,290,"1,980","7,594"
Ohio,"9,458","6,697","4,538","8,816","2,114","6,201","37,824","23,207","5,641","13,458","12,299","6,302","12,923","73,830","111,654"
Oklahoma ,"5,078","4,864","2,963","6,815",213,"2,495","22,428","4,558","2,430","5,645","5,799","1,282","4,301","24,015","46,443"
Oregon,"4,311","4,765","2,219","2,895",658,"1,671","16,519","4,440","1,309","5,208","3,521","2,167","2,434","19,079","35,598"
Pennsylvania,"11,014","6,598","7,194","5,068","2,222","7,079","39,175","14,695","6,759","17,954","13,722","8,491","7,274","68,895","108,070"
Rhode Island,424,122,120,156,38,21,881,"1,957","1,144","2,247","1,182",783,279,"7,592","8,473"
