FUNCTIONAL  SYSTEM  TRAVEL - 2008  1/,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nov-09,,,,,,,( MILLIONS ),,,,,,,,TABLE  VM-2
,RURAL,,,,,,,URBAN,,,,,,,
,,OTHER,,,,,,,OTHER,OTHER,,,,,
STATE,INTERSTATE,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,COLLECTOR,LOCAL,TOTAL,TOTAL
,,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,,,,
Alabama,"5,643","5,943","4,411","4,509","1,656","6,723","28,885","7,307",643,"7,391","5,543","2,157","7,377","30,418","59,303"
Alaska,803,309,158,548,154,421,"2,393",662, -,448,732,339,291,"2,472","4,865"
Arizona,"6,966","2,786","2,323","2,737",516,"2,913","18,241","5,920","7,404","12,568","8,015","3,109","6,371","43,387","61,628"
Arkansas,"4,510","4,577","3,178","4,765",714,"1,980","19,724","3,890",904,"3,348","2,863","1,087","1,347","13,439","33,163"
California,"17,681","16,387","9,140","9,764","2,679","2,885","58,536","68,615","54,867","59,727","49,630","18,358","17,553","268,750","327,286"
Colorado,"4,409","4,001","2,731","2,141",781,"1,562","15,625","7,312","4,433","9,381","5,281","2,607","3,221","32,235","47,860"
Connecticut,715,809,491,"1,010",155,793,"3,973","9,589","3,896","3,790","5,262","2,604","2,623","27,764","31,737"
Delaware, -,"1,298",281,590,110,427,"2,706","1,253",441,"1,773",935,727,"1,141","6,270","8,976"
Dist. of Columbia, -, -, -, -, -, -, -,417,396,"1,028",736,298,736,"3,611","3,611"
Florida,"9,591","10,187","4,502","3,528","1,800","6,436","36,044","24,638","12,547","39,596","28,869","20,336","36,586","162,572","198,616"
Georgia,"9,433","6,211","6,815","6,332","1,747","7,953","38,491","19,118","2,404","12,897","15,481","4,920","15,746","70,566","109,057"
Hawaii,110,527,643,323,42,860,"2,505","1,861",542,"1,939",696,954,"1,781","7,773","10,278"
Idaho,"2,101","2,284","1,003","1,270",235,"2,226","9,119","1,250", -,"2,001","1,443",553,885,"6,132","15,251"
Illinois,"8,972","3,798","4,684","5,458",445,"3,949","27,306","22,437","1,147","21,381","15,634","8,368","9,806","78,773","106,079"
Indiana,"7,140","4,859","3,412","10,814","2,337","3,025","31,587","9,527","1,323","10,805","7,890","2,663","7,178","39,386","70,973"
Iowa,"4,628","5,472","2,592","3,426",871,"1,545","18,534","2,538", -,"3,474","3,273","1,006","1,888","12,179","30,713"
Kansas,"3,242","4,442","2,143","2,672",261,"1,724","14,484","3,690","1,790","3,555","3,124","1,169","1,915","15,243","29,727"
Kentucky,"6,566","7,011","2,905","5,084","2,402","3,479","27,447","6,045",789,"5,675","3,633","1,673","2,272","20,087","47,534"
Louisiana,"5,489","2,493","3,063","4,252","1,495","2,633","19,425","7,180",528,"7,656","6,027","2,889","1,386","25,666","45,091"
Maine,"2,207","1,919","1,770","2,323",850,"1,440","10,509",794,164,750,945,972,425,"4,050","14,559"
Maryland,"3,484","3,429","2,088","2,057","1,252","1,634","13,944","13,226","5,566","9,942","6,063","3,316","2,966","41,079","55,023"
Massachusetts,"1,257",795,561,670,156,693,"4,132","15,061","5,518","10,882","8,668","2,859","7,385","50,373","54,505"
Michigan,"5,245","6,696","6,884","9,665",961,"2,370","31,821","15,346","5,585","19,149","17,236","5,802","6,886","70,004","101,825"
Minnesota,"4,150","7,372","4,819","4,539","1,830","2,777","25,487","8,500","3,571","4,595","8,706","2,597","4,539","32,508","57,995"
Mississippi,"4,103","5,691","3,749","4,798",492,"7,835","26,668","3,479",525,"5,438","2,374","1,684","3,543","17,043","43,711"
Missouri,"5,972","8,126","3,498","5,066",703,"5,146","28,511","12,213","4,744","7,115","5,273","3,059","7,358","39,762","68,273"
Montana,"2,350","2,190","1,115","1,154",381,"1,015","8,205",343, -,945,516,239,564,"2,607","10,812"
Nebraska,"2,590","3,050","2,440","1,528",241,"1,051","10,900","1,356",297,"2,856","2,079",595,"1,087","8,270","19,170"
Nevada,"1,826","1,484",509,410,153,486,"4,868","3,515","1,771","2,633","4,301","1,162","2,530","15,912","20,780"
New Hampshire,"1,235","1,402",962,"1,148",593,398,"5,738","1,557","1,017","1,287","1,806",915,720,"7,302","13,040"
New Jersey,"1,609","1,872",698,"1,189",325,604,"6,297","13,691","11,639","16,478","10,959","5,001","9,564","67,332","73,629"
New Mexico,"4,530","3,218","1,594","1,092",567,"3,918","14,919","2,660",7,"4,249","1,539","1,235","1,670","11,360","26,279"
New York,"6,176","3,871","4,809","4,138","9,468","4,658","33,120","20,516","16,790","19,184","20,919","8,922","14,634","100,965","134,085"
North Carolina,"5,957","8,069","5,478","9,189","3,432","4,964","37,089","13,975","5,241","12,674","10,780","4,366","17,587","64,623","101,712"
North Dakota,"1,394","1,651",662,"1,019", -,887,"5,613",374, -,659,537,247,390,"2,207","7,820"
Ohio,"9,039","6,282","4,159","8,202","1,964","5,760","35,406","22,431","5,399","12,440","12,638","7,088","12,900","72,896","108,302"
Oklahoma ,"5,029","4,820","2,941","7,486",226,"2,763","23,265","4,650","2,573","5,549","5,569","1,281","5,612","25,234","48,499"
Oregon,"4,109","4,403","2,015","2,257",577,"1,387","14,748","4,393","1,341","4,901","3,632","2,324","2,129","18,720","33,468"
Pennsylvania,"10,864","6,515","7,012","4,843","2,166","7,342","38,742","14,803","6,953","17,550","13,486","8,610","7,704","69,106","107,848"
Rhode Island,404,125,135,151,37,22,874,"1,737","1,211","2,157","1,149",772,287,"7,313","8,187"
