FUNCTIONAL  SYSTEM  TRAVEL - 2009  1/,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
11-Dec,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2
,RURAL,,,,,,,,URBAN,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,
Alabama,"5,683", -,"6,580","4,751","4,912","1,668","6,778","30,372","7,425",580,"7,329","5,424","2,711", -,"7,459","30,927","61,300"
Alaska,860, -,308,121,456,151,420,"2,316",663, -,484,835,343, -,292,"2,617","4,933"
Arizona,"6,966", -,"2,786","2,323","2,737",516,"2,913","18,241","5,920","7,404","12,568","8,015","3,109", -,"6,371","43,387","61,628"
Arkansas,"4,204",522,"3,981","2,912","4,249",752,"2,035","18,654","3,985",967,"3,512","3,115","1,415",19,"1,486","14,501","33,154"
California,"17,541", -,"16,324","8,982","9,828","2,655","2,873","58,203","68,191","54,324","58,983","48,798","18,485", -,"17,502","266,283","324,486"
Colorado,"4,290", -,"3,886","2,497","1,700",728,"1,456","14,557","7,256","4,303","8,884","5,344","2,720", -,"3,167","31,674","46,230"
Connecticut,718, -,811,487,"1,025",154,776,"3,971","9,562","3,881","3,724","5,190","2,536", -,"2,556","27,449","31,420"
Delaware, -, -,"1,330",270,614,108,420,"2,742","1,230",443,"1,801",968,756, -,"1,140","6,338","9,080"
Dist. of Columbia, -, -, -, -, -, -, -, -,431,353,"1,053",740,297, -,734,"3,608","3,608"
Florida,"9,505","1,902","8,113","4,191","3,693","1,790","6,419","35,612","24,269","12,280","38,822","28,607","20,420", -,"36,369","160,767","196,379"
Georgia,"9,671", -,"6,067","6,531","5,950","1,753","8,709","38,681","19,203","2,916","12,425","15,480","4,876", -,"15,677","70,577","109,258"
Hawaii,113, -,525,624,285,34,842,"2,423","1,786",513,"1,877",693,923, -,"1,758","7,550","9,973"
Idaho,"2,193", -,"2,179","1,069","1,441",243,"2,338","9,463","1,291", -,"2,083","1,301",456, -,937,"6,068","15,531"
Illinois,"8,844", -,"3,821","4,652","5,450",418,"3,896","27,081","22,670","1,196","21,040","15,561","8,574", -,"9,724","78,765","105,846"
Indiana,"7,014", -,"4,654","3,334","6,731","1,916","4,925","28,574","9,712","1,304","10,626","7,673","6,087", -,"12,652","48,054","76,628"
Iowa,"4,679", -,"5,617","2,619","3,407",871,"1,561","18,754","2,529", -,"3,593","3,262","1,027", -,"1,900","12,311","31,065"
