FUNCTIONAL  SYSTEM  TRAVEL - 2010  1/,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
REVISED DECEMBER 2012,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2
,RURAL,,,,,,,,URBAN,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,
Alabama," 5,745 ", -," 6,503 "," 4,800 "," 4,984 "," 1,686 "," 6,851 "," 30,569 "," 7,552 ", 591 ," 7,461 "," 6,192 "," 3,274 ", -," 8,526 "," 33,596 "," 64,165 "
Alaska, 859 , -, 310 , 114 , 352 , 150 , 419 ," 2,205 ", 663 , -, 491 , 798 , -, 350 , 291 ," 2,594 "," 4,798 "
Arizona," 7,133 ", -," 3,302 "," 1,785 "," 2,913 ", 467 ," 1,720 "," 17,321 "," 6,065 "," 7,278 "," 12,530 "," 7,758 "," 3,109 ", -," 5,934 "," 42,675 "," 59,995 "
Arkansas," 4,328 ", 488 ," 4,107 "," 2,968 "," 4,190 ", 718 ," 1,991 "," 18,792 "," 4,093 ", 965 ," 3,621 "," 3,185 "," 1,344 ", 16 ," 1,489 "," 14,713 "," 33,504 "
California," 17,565 ", -," 15,958 "," 9,493 "," 9,558 "," 2,635 "," 2,851 "," 58,060 "," 68,207 "," 53,407 "," 58,436 "," 48,607 "," 18,465 ", -," 17,666 "," 264,789 "," 322,849 "
Colorado," 4,149 ", -," 4,030 "," 2,497 "," 1,835 ", 736 ," 1,472 "," 14,720 "," 7,489 "," 4,514 "," 9,047 "," 5,257 "," 2,690 ", -," 3,222 "," 32,220 "," 46,940 "
Connecticut, 711 , 333 , 470 , 500 , 938 , 156 , 794 ," 3,902 "," 9,633 "," 3,887 "," 3,646 "," 5,091 "," 2,586 ", 21 ," 2,528 "," 27,393 "," 31,294 "
Delaware, -, -," 1,356 ", 323 , 592 , 106 , 402 ," 2,779 "," 1,191 ", 440 ," 1,830 ", 958 , 733 , -," 1,017 "," 6,169 "," 8,948 "
Dist. of Columbia, -, -, -, -, -, -, -, -, 477 , 351 , 996 , 740 , 292 , -, 734 ," 3,591 "," 3,591 "
Florida," 9,459 "," 1,941 "," 7,979 "," 4,112 "," 3,712 "," 1,807 "," 6,392 "," 35,403 "," 25,371 "," 11,667 "," 38,744 "," 27,907 "," 20,200 ", -," 36,463 "," 160,352 "," 195,755 "
