State,2014CapitalOutlay,2014Maintenance,2013CapitalOutlay,2013Maintenance,2012CapitalOutlay,2012Maintenance,2011CapitalOutlay,2011Maintenance,2010CapitalOutlay,2010Maintenance,2009CapitalOutlay,2009Maintenance,2008CapitalOutlay,2008Maintenance,2007CapitalOutlay,2007Maintenance,2006CapitalOutlay,2006Maintenance,2005CapitalOutlay,2005Maintenance,2004CapitalOutlay,2004Maintenance,2003CapitalOutlay,2003Maintenance,2002CapitalOutlay,2002Maintenance,2001CapitalOutlay,2001Maintenance,2000CapitalOutlay,2000Maintenance,1999CapitalOutlay,1999Maintenance
alabama,"1,058,602","15,826","977,342","154,394","951,651","168,553","827,721","152,120","921,552","141,484","951,106","158,245","902,279","164,585","873,922","161,502","857,317","142,717","862,286","135,384","855,756","130,227","958,803","121,086","988,036","90,810","839,747","74,180","719,722","131,611","554,576","140,112"
alaska,"762,425","33,064","592,321","25,444","396,228","31,421","414,849","33,291","401,372","32,827","578,918","72,610","379,094","71,876","369,287","62,492","343,155","40,153","378,618","35,301","392,645","33,506","401,540","51,592","334,725","41,348","296,492","30,880","321,612","27,000","243,317","28,840"
arizona,"790,800","121,031","846,523","130,259","1,021,042","124,583","987,160","111,071","1,159,595","82,930","1,216,653","117,821","1,014,921","112,901","774,790","103,342","959,084","94,730","865,879","87,640","964,324","80,118","949,937","78,346","1,093,652","73,363","937,529","70,896","943,706","64,430","926,250","57,860"
arkansas,"1,383,802","155,834","1,211,878","155,812","794,019","151,184","668,795","141,212","579,462","133,854","530,273","137,228","595,739","131,534","565,066","130,113","623,516","148,829","638,894","138,534","796,315","126,716","745,458","121,078","756,646","125,730","602,563","113,192","456,710","117,419","396,397","109,992"
california,"4,532,694","1,245,731","3,150,281","536,876","3,993,916","1,195,155","4,067,548","957,329","5,924,164","517,765","5,849,124","547,446","4,843,453","498,021","4,843,919","365,577","3,550,769","364,299","2,865,105","323,069","2,807,564","271,531","4,130,309","302,986","3,504,563","339,316","2,963,464","468,934","2,576,376","416,254","2,749,412","472,148"
colorado,"1,010,752","279,075","889,930","323,472","820,594","292,868","597,287","277,374","626,143","242,397","841,307","101,393","691,518","114,242","592,167","149,639","525,303","227,213","603,948","235,918","761,281","206,811","825,201","360,310","944,157","176,725","922,997","189,605","702,660","177,231","666,118","154,261"
connecticut,"759,074","84,576","794,825","80,714","773,860","79,017","759,837","71,565","817,795","71,355","659,277","71,838","553,557","84,469","498,891","141,462","527,013","130,158","555,676","109,604","580,987","100,486","603,613","79,457","637,593","95,238","531,480","69,832","552,254","71,368","506,478","63,919"
delaware,"239,521","106,716","402,879","77,147","446,127","4,522","290,646","5,915","452,803","7,047","334,746","54,261","247,399","55,917","276,511","66,236","391,715","73,705","357,736","50,116","274,980","41,177","248,387","32,877","272,624","40,087","346,486","41,404","297,648","27,697","242,346","30,312"
florida,"4,501,032","699,363","4,631,136","734,675","4,298,618","639,173","4,049,481","619,761","4,603,339","610,308","4,443,504","685,611","5,200,767","854,822","5,152,228","755,980","4,590,647","953,406","4,063,856","879,912","3,684,009","544,421","3,481,552","526,282","3,100,296","479,057","2,576,539","370,744","2,420,787","367,056","2,489,170","338,124"
georgia,"1,084,816","226,807","1,174,364","198,509","1,275,687","156,241","1,328,915","165,853","1,673,095","126,925","2,100,782","156,094","2,569,015","164,897","2,024,797","151,825","1,626,151","164,881","1,159,180","135,470","1,163,061","122,970","1,148,379","132,480","1,194,951","123,384","1,120,696","151,844","982,582","147,620","1,230,898","121,894"
hawaii,"192,370","64,337","207,202","49,347","222,624","35,407","215,109","22,188","249,537","38,351","276,618","36,969","260,763","30,739","185,718","21,676","154,993","17,834","209,440","15,560","131,288","16,989","151,891","33,622","140,856","32,932","145,720","25,051","148,304","22,195","184,956","7,298"
idaho,"351,260","90,891","368,602","80,838","375,920","75,530","442,950","104,796","515,630","87,233","485,090","82,842","415,831","87,068","359,635","79,888","340,384","53,572","321,519","37,884","279,248","39,953","267,703","24,247","244,345","20,043","223,909","26,177","236,204","19,833","210,067","16,727"
illinois  ,"3,936,160","462,362","3,375,680","450,114","3,349,660","468,956","2,268,657","414,327","2,852,653","417,500","2,852,653","417,500","2,970,023","372,626","2,984,030","361,892","2,744,798","326,080","1,943,765","325,453","1,866,781","294,917","1,907,846","299,061","1,870,480","334,051","1,673,196","271,854","1,613,768","266,362","1,165,844","255,783"
indiana ,"1,377,754","635,062","1,531,068","580,369","1,700,716","462,723","1,342,541","542,777","1,341,529","533,445","2,022,933","173,052","1,579,927","65,495","1,132,828","56,687","813,924","388,410","832,250","395,520","1,049,915","263,827","927,522","275,525","766,645","229,687","2,167,981","244,261","1,035,129","229,670","751,900","176,465"
iowa,"869,593","114,298","735,152","108,400","893,998","126,468","585,019","106,005","763,931","98,548","680,583","87,774","526,150","93,353","566,937","78,506","531,763","81,539","528,933","64,963","497,048","54,660","620,041","51,969","604,890","58,844","604,619","57,022","696,081","77,054","529,904","62,288"
kansas,"791,153","120,933","595,123","129,012","923,432","123,781","681,076","145,065","639,070","126,307","744,351","133,294","703,493","137,594","634,650","130,775","753,689","138,373","707,018","120,752","735,108","102,180","697,771","109,148","651,554","94,321","656,584","109,124","589,171","95,279","625,320","100,264"
kentucky,"1,575,909","329,391","1,385,414","321,062","1,277,745","336,069","1,046,402","341,876","1,338,098","332,918","1,488,876","303,487","1,532,241","290,109","1,224,911","256,755","884,587","239,269","847,748","220,875","1,081,104","215,212","1,101,898","366,806","1,031,984","160,172","932,043","170,265","911,249","176,967","833,568","149,116"
louisiana,"1,120,326","99,914","1,053,504","82,698","1,364,969","88,394","1,572,893","89,797","1,773,985","278,057","2,973,935","226,341","1,867,305","197,794","1,369,067","224,774","1,249,852","226,820","962,512","225,653","926,784","193,501","803,432","208,061","645,401","199,142","566,152","119,173","767,993","114,932","704,414","114,808"
maine,"380,032","116,499","380,032","116,499","380,032","116,499","380,032","116,499","351,451","129,556","299,913","121,667","283,437","158,397","277,672","108,366","327,081","117,000","256,544","114,827","306,871","110,886","264,597","85,326","260,606","124,002","196,077","88,232","215,597","88,232","201,851","88,232"
maryland,"1,346,125","172,180","1,207,048","181,654","1,077,555","328,600","1,323,359","159,922","1,005,289","112,311","1,428,578","116,675","1,427,948","130,779","1,233,199","122,271","1,097,745","102,198","983,356","105,920","828,391","104,841","794,873","92,000","841,043","91,714","708,582","127,300","568,270","133,756","598,665","124,597"
massachusetts,"1,064,039","147,473","1,064,039","147,473","1,064,039","147,473","1,064,039","147,473","1,064,039","147,473","752,115","114,500","595,348","62,450","711,311","57,034","897,326","67,247","1,151,518","58,823","1,204,030","51,909","1,429,522","61,594","1,742,060","60,547","1,899,566","69,736","2,089,620","69,740","2,712,965","56,968"
michigan,"1,197,718","158,756","1,081,219","178,804","1,101,434","199,422","1,174,792","172,542","1,446,347","207,072","1,272,105","192,948","1,304,556","199,365","1,374,124","201,246","1,333,691","216,794","1,316,860","207,557","1,037,039","179,084","1,094,807","171,968","1,133,614","182,974","1,234,018","169,914","1,142,434","175,712","1,058,220","155,934"
minnesota,"1,195,000","343,791","978,918","380,461","950,179","316,553","1,239,606","389,511","973,934","356,697","848,952","344,285","945,278","291,805","806,633","279,950","866,704","299,530","856,449","247,919","789,871","251,950","678,085","351,384","748,397","211,115","601,926","206,367","600,841","249,952","533,402","172,314"
mississippi,"894,062","59,655","935,623","57,453","827,789","62,718","759,482","81,729","807,275","93,170","707,655","101,583","838,350","88,990","1,117,763","76,800","783,161","68,439","560,562","73,590","571,164","73,566","559,095","64,942","587,732","63,169","481,995","50,767","604,647","64,495","619,982","54,220"
missouri,"981,717","364,240","965,791","361,185","1,192,625","381,574","1,286,201","427,078","1,409,407","388,416","1,474,105","390,532","1,234,237","352,261","1,357,132","353,613","1,245,672","351,724","940,764","378,810","1,115,183","324,161","1,181,263","261,537","1,235,803","250,457","1,187,608","259,646","959,378","313,140","805,394","269,197"
montana ,"453,399","83,013","435,946","81,629","501,473","111,186","480,009","75,062","513,614","77,260","435,888","64,764","401,116","63,688","315,063","59,241","332,549","73,414","360,763","35,358","393,408","50,853","322,101","58,642","289,987","54,983","264,218","58,493","300,018","53,333","245,013","51,751"
nebraska,"445,021","129,723","483,938","89,387","407,437","99,301","339,635","85,505","408,559","78,670","426,708","101,512","376,923","88,340","320,013","85,279","400,939","76,300","386,604","70,590","389,092","65,271","344,330","72,249","323,452","62,738","271,042","50,926","382,069","64,903","314,299","67,817"
nevada,"340,012","78,201","499,589","72,458","723,702","95,330","533,327","65,558","565,371","59,577","738,746","89,267","465,116","84,899","649,736","91,317","579,372","87,943","519,456","61,801","530,544","61,333","373,456","52,270","298,639","52,814","343,010","60,606","424,280","60,741","330,095","48,969"
new hampshire,"282,702","92,080","319,550","2,667","319,550","2,667","319,550","2,667","319,550","2,667","223,252","120,100","255,881","150,519","247,594","128,597","264,002","2,966","85,484","87,014","85,484","87,014","144,486","84,336","155,472","85,560","175,293","85,596","163,572","24,406","157,682","68,908"
